condition,sigma,seed_group,agent_id,episode_idx,outcome,rescued
control,0.0,0,0,0,PARTNER_RESCUED,1
control,0.0,0,0,1,PARTNER_RESCUED,1
control,0.0,0,0,2,PARTNER_RESCUED,1
control,0.0,0,0,3,TIMEOUT,0
control,0.0,0,0,4,TIMEOUT,0
control,0.0,0,0,5,TIMEOUT,0
control,0.0,0,0,6,TIMEOUT,0
control,0.0,0,0,7,TIMEOUT,0
control,0.0,0,0,8,TIMEOUT,0
control,0.0,0,0,9,TIMEOUT,0
control,0.0,0,0,10,TIMEOUT,0
control,0.0,0,0,11,PARTNER_RESCUED,1
control,0.0,0,0,12,TIMEOUT,0
control,0.0,0,0,13,TIMEOUT,0
control,0.0,0,0,14,TIMEOUT,0
control,0.0,0,0,15,TIMEOUT,0
control,0.0,0,0,16,TIMEOUT,0
control,0.0,0,0,17,PARTNER_RESCUED,1
control,0.0,0,0,18,PARTNER_RESCUED,1
control,0.0,0,0,19,TIMEOUT,0
control,0.0,0,1,0,PARTNER_RESCUED,1
control,0.0,0,1,1,PARTNER_RESCUED,1
control,0.0,0,1,2,TIMEOUT,0
control,0.0,0,1,3,PARTNER_RESCUED,1
control,0.0,0,1,4,PARTNER_RESCUED,1
control,0.0,0,1,5,PARTNER_RESCUED,1
control,0.0,0,1,6,PARTNER_RESCUED,1
control,0.0,0,1,7,TIMEOUT,0
control,0.0,0,1,8,PARTNER_RESCUED,1
control,0.0,0,1,9,PARTNER_RESCUED,1
control,0.0,0,1,10,PARTNER_RESCUED,1
control,0.0,0,1,11,PARTNER_RESCUED,1
control,0.0,0,1,12,PARTNER_RESCUED,1
control,0.0,0,1,13,TIMEOUT,0
control,0.0,0,1,14,PARTNER_RESCUED,1
control,0.0,0,1,15,PARTNER_RESCUED,1
control,0.0,0,1,16,PARTNER_RESCUED,1
control,0.0,0,1,17,TIMEOUT,0
control,0.0,0,1,18,PARTNER_RESCUED,1
control,0.0,0,1,19,TIMEOUT,0
control,0.0,0,2,0,PARTNER_RESCUED,1
control,0.0,0,2,1,PARTNER_RESCUED,1
control,0.0,0,2,2,TIMEOUT,0
control,0.0,0,2,3,TIMEOUT,0
control,0.0,0,2,4,TIMEOUT,0
control,0.0,0,2,5,TIMEOUT,0
control,0.0,0,2,6,TIMEOUT,0
control,0.0,0,2,7,TIMEOUT,0
control,0.0,0,2,8,PARTNER_RESCUED,1
control,0.0,0,2,9,TIMEOUT,0
control,0.0,0,2,10,TIMEOUT,0
control,0.0,0,2,11,TIMEOUT,0
control,0.0,0,2,12,TIMEOUT,0
control,0.0,0,2,13,TIMEOUT,0
control,0.0,0,2,14,TIMEOUT,0
control,0.0,0,2,15,TIMEOUT,0
control,0.0,0,2,16,TIMEOUT,0
control,0.0,0,2,17,TIMEOUT,0
control,0.0,0,2,18,TIMEOUT,0
control,0.0,0,2,19,TIMEOUT,0
control,0.0,0,3,0,PARTNER_RESCUED,1
control,0.0,0,3,1,PARTNER_RESCUED,1
control,0.0,0,3,2,TIMEOUT,0
control,0.0,0,3,3,PARTNER_RESCUED,1
control,0.0,0,3,4,PARTNER_RESCUED,1
control,0.0,0,3,5,TIMEOUT,0
control,0.0,0,3,6,PARTNER_RESCUED,1
control,0.0,0,3,7,PARTNER_RESCUED,1
control,0.0,0,3,8,TIMEOUT,0
control,0.0,0,3,9,RESOURCE_TAKEN,0
control,0.0,0,3,10,PARTNER_RESCUED,1
control,0.0,0,3,11,PARTNER_RESCUED,1
control,0.0,0,3,12,PARTNER_RESCUED,1
control,0.0,0,3,13,PARTNER_RESCUED,1
control,0.0,0,3,14,PARTNER_RESCUED,1
control,0.0,0,3,15,PARTNER_RESCUED,1
control,0.0,0,3,16,PARTNER_RESCUED,1
control,0.0,0,3,17,PARTNER_RESCUED,1
control,0.0,0,3,18,PARTNER_RESCUED,1
control,0.0,0,3,19,TIMEOUT,0
control,0.0,0,4,0,PARTNER_RESCUED,1
control,0.0,0,4,1,PARTNER_RESCUED,1
control,0.0,0,4,2,PARTNER_RESCUED,1
control,0.0,0,4,3,TIMEOUT,0
control,0.0,0,4,4,PARTNER_RESCUED,1
control,0.0,0,4,5,TIMEOUT,0
control,0.0,0,4,6,PARTNER_RESCUED,1
control,0.0,0,4,7,PARTNER_RESCUED,1
control,0.0,0,4,8,PARTNER_RESCUED,1
control,0.0,0,4,9,PARTNER_RESCUED,1
control,0.0,0,4,10,PARTNER_RESCUED,1
control,0.0,0,4,11,TIMEOUT,0
control,0.0,0,4,12,TIMEOUT,0
control,0.0,0,4,13,TIMEOUT,0
control,0.0,0,4,14,TIMEOUT,0
control,0.0,0,4,15,TIMEOUT,0
control,0.0,0,4,16,TIMEOUT,0
control,0.0,0,4,17,PARTNER_RESCUED,1
control,0.0,0,4,18,PARTNER_RESCUED,1
control,0.0,0,4,19,TIMEOUT,0
control,0.0,0,5,0,PARTNER_RESCUED,1
control,0.0,0,5,1,PARTNER_RESCUED,1
control,0.0,0,5,2,PARTNER_RESCUED,1
control,0.0,0,5,3,TIMEOUT,0
control,0.0,0,5,4,TIMEOUT,0
control,0.0,0,5,5,TIMEOUT,0
control,0.0,0,5,6,TIMEOUT,0
control,0.0,0,5,7,PARTNER_RESCUED,1
control,0.0,0,5,8,PARTNER_RESCUED,1
control,0.0,0,5,9,PARTNER_RESCUED,1
control,0.0,0,5,10,PARTNER_RESCUED,1
control,0.0,0,5,11,TIMEOUT,0
control,0.0,0,5,12,TIMEOUT,0
control,0.0,0,5,13,TIMEOUT,0
control,0.0,0,5,14,TIMEOUT,0
control,0.0,0,5,15,PARTNER_RESCUED,1
control,0.0,0,5,16,PARTNER_RESCUED,1
control,0.0,0,5,17,TIMEOUT,0
control,0.0,0,5,18,TIMEOUT,0
control,0.0,0,5,19,TIMEOUT,0
control,0.0,0,6,0,PARTNER_RESCUED,1
control,0.0,0,6,1,PARTNER_RESCUED,1
control,0.0,0,6,2,PARTNER_RESCUED,1
control,0.0,0,6,3,PARTNER_RESCUED,1
control,0.0,0,6,4,TIMEOUT,0
control,0.0,0,6,5,PARTNER_RESCUED,1
control,0.0,0,6,6,TIMEOUT,0
control,0.0,0,6,7,TIMEOUT,0
control,0.0,0,6,8,TIMEOUT,0
control,0.0,0,6,9,TIMEOUT,0
control,0.0,0,6,10,TIMEOUT,0
control,0.0,0,6,11,TIMEOUT,0
control,0.0,0,6,12,TIMEOUT,0
control,0.0,0,6,13,PARTNER_RESCUED,1
control,0.0,0,6,14,PARTNER_RESCUED,1
control,0.0,0,6,15,PARTNER_RESCUED,1
control,0.0,0,6,16,TIMEOUT,0
control,0.0,0,6,17,PARTNER_DEAD,0
control,0.0,0,6,18,PARTNER_RESCUED,1
control,0.0,0,6,19,PARTNER_RESCUED,1
control,0.0,0,7,0,PARTNER_RESCUED,1
control,0.0,0,7,1,TIMEOUT,0
control,0.0,0,7,2,TIMEOUT,0
control,0.0,0,7,3,TIMEOUT,0
control,0.0,0,7,4,PARTNER_RESCUED,1
control,0.0,0,7,5,PARTNER_RESCUED,1
control,0.0,0,7,6,TIMEOUT,0
control,0.0,0,7,7,TIMEOUT,0
control,0.0,0,7,8,TIMEOUT,0
control,0.0,0,7,9,TIMEOUT,0
control,0.0,0,7,10,TIMEOUT,0
control,0.0,0,7,11,TIMEOUT,0
control,0.0,0,7,12,TIMEOUT,0
control,0.0,0,7,13,TIMEOUT,0
control,0.0,0,7,14,TIMEOUT,0
control,0.0,0,7,15,TIMEOUT,0
control,0.0,0,7,16,TIMEOUT,0
control,0.0,0,7,17,TIMEOUT,0
control,0.0,0,7,18,TIMEOUT,0
control,0.0,0,7,19,TIMEOUT,0
control,0.0,0,8,0,PARTNER_RESCUED,1
control,0.0,0,8,1,TIMEOUT,0
control,0.0,0,8,2,PARTNER_RESCUED,1
control,0.0,0,8,3,PARTNER_RESCUED,1
control,0.0,0,8,4,PARTNER_RESCUED,1
control,0.0,0,8,5,TIMEOUT,0
control,0.0,0,8,6,TIMEOUT,0
control,0.0,0,8,7,TIMEOUT,0
control,0.0,0,8,8,TIMEOUT,0
control,0.0,0,8,9,PARTNER_RESCUED,1
control,0.0,0,8,10,TIMEOUT,0
control,0.0,0,8,11,PARTNER_RESCUED,1
control,0.0,0,8,12,TIMEOUT,0
control,0.0,0,8,13,TIMEOUT,0
control,0.0,0,8,14,TIMEOUT,0
control,0.0,0,8,15,TIMEOUT,0
control,0.0,0,8,16,TIMEOUT,0
control,0.0,0,8,17,PARTNER_RESCUED,1
control,0.0,0,8,18,TIMEOUT,0
control,0.0,0,8,19,TIMEOUT,0
control,0.0,0,9,0,PARTNER_RESCUED,1
control,0.0,0,9,1,PARTNER_RESCUED,1
control,0.0,0,9,2,PARTNER_RESCUED,1
control,0.0,0,9,3,PARTNER_RESCUED,1
control,0.0,0,9,4,TIMEOUT,0
control,0.0,0,9,5,TIMEOUT,0
control,0.0,0,9,6,TIMEOUT,0
control,0.0,0,9,7,TIMEOUT,0
control,0.0,0,9,8,PARTNER_RESCUED,1
control,0.0,0,9,9,PARTNER_RESCUED,1
control,0.0,0,9,10,PARTNER_RESCUED,1
control,0.0,0,9,11,TIMEOUT,0
control,0.0,0,9,12,TIMEOUT,0
control,0.0,0,9,13,TIMEOUT,0
control,0.0,0,9,14,TIMEOUT,0
control,0.0,0,9,15,TIMEOUT,0
control,0.0,0,9,16,TIMEOUT,0
control,0.0,0,9,17,TIMEOUT,0
control,0.0,0,9,18,TIMEOUT,0
control,0.0,0,9,19,TIMEOUT,0
control,0.0,0,10,0,PARTNER_RESCUED,1
control,0.0,0,10,1,TIMEOUT,0
control,0.0,0,10,2,TIMEOUT,0
control,0.0,0,10,3,PARTNER_RESCUED,1
control,0.0,0,10,4,TIMEOUT,0
control,0.0,0,10,5,TIMEOUT,0
control,0.0,0,10,6,TIMEOUT,0
control,0.0,0,10,7,TIMEOUT,0
control,0.0,0,10,8,PARTNER_RESCUED,1
control,0.0,0,10,9,PARTNER_RESCUED,1
control,0.0,0,10,10,PARTNER_RESCUED,1
control,0.0,0,10,11,PARTNER_RESCUED,1
control,0.0,0,10,12,PARTNER_RESCUED,1
control,0.0,0,10,13,PARTNER_RESCUED,1
control,0.0,0,10,14,TIMEOUT,0
control,0.0,0,10,15,TIMEOUT,0
control,0.0,0,10,16,PARTNER_RESCUED,1
control,0.0,0,10,17,TIMEOUT,0
control,0.0,0,10,18,TIMEOUT,0
control,0.0,0,10,19,TIMEOUT,0
control,0.0,0,11,0,PARTNER_RESCUED,1
control,0.0,0,11,1,PARTNER_RESCUED,1
control,0.0,0,11,2,PARTNER_RESCUED,1
control,0.0,0,11,3,PARTNER_RESCUED,1
control,0.0,0,11,4,TIMEOUT,0
control,0.0,0,11,5,TIMEOUT,0
control,0.0,0,11,6,TIMEOUT,0
control,0.0,0,11,7,TIMEOUT,0
control,0.0,0,11,8,TIMEOUT,0
control,0.0,0,11,9,PARTNER_RESCUED,1
control,0.0,0,11,10,PARTNER_RESCUED,1
control,0.0,0,11,11,PARTNER_DEAD,0
control,0.0,0,11,12,PARTNER_RESCUED,1
control,0.0,0,11,13,PARTNER_RESCUED,1
control,0.0,0,11,14,PARTNER_RESCUED,1
control,0.0,0,11,15,PARTNER_RESCUED,1
control,0.0,0,11,16,TIMEOUT,0
control,0.0,0,11,17,TIMEOUT,0
control,0.0,0,11,18,PARTNER_RESCUED,1
control,0.0,0,11,19,TIMEOUT,0
control,0.0,0,12,0,PARTNER_RESCUED,1
control,0.0,0,12,1,TIMEOUT,0
control,0.0,0,12,2,TIMEOUT,0
control,0.0,0,12,3,TIMEOUT,0
control,0.0,0,12,4,TIMEOUT,0
control,0.0,0,12,5,TIMEOUT,0
control,0.0,0,12,6,TIMEOUT,0
control,0.0,0,12,7,TIMEOUT,0
control,0.0,0,12,8,TIMEOUT,0
control,0.0,0,12,9,TIMEOUT,0
control,0.0,0,12,10,PARTNER_RESCUED,1
control,0.0,0,12,11,TIMEOUT,0
control,0.0,0,12,12,TIMEOUT,0
control,0.0,0,12,13,TIMEOUT,0
control,0.0,0,12,14,TIMEOUT,0
control,0.0,0,12,15,TIMEOUT,0
control,0.0,0,12,16,TIMEOUT,0
control,0.0,0,12,17,TIMEOUT,0
control,0.0,0,12,18,TIMEOUT,0
control,0.0,0,12,19,TIMEOUT,0
control,0.0,0,13,0,PARTNER_RESCUED,1
control,0.0,0,13,1,PARTNER_RESCUED,1
control,0.0,0,13,2,PARTNER_RESCUED,1
control,0.0,0,13,3,PARTNER_RESCUED,1
control,0.0,0,13,4,PARTNER_RESCUED,1
control,0.0,0,13,5,PARTNER_RESCUED,1
control,0.0,0,13,6,TIMEOUT,0
control,0.0,0,13,7,TIMEOUT,0
control,0.0,0,13,8,TIMEOUT,0
control,0.0,0,13,9,TIMEOUT,0
control,0.0,0,13,10,TIMEOUT,0
control,0.0,0,13,11,TIMEOUT,0
control,0.0,0,13,12,TIMEOUT,0
