kappa,agent_id,episode_idx,outcome,steps_used,target_switches,n_memories
0.25,0,0,RESOURCE_TAKEN,12,0,2
0.25,0,1,TIMEOUT,12,2,3
0.25,0,2,TIMEOUT,12,1,4
0.25,0,3,TIMEOUT,12,3,5
0.25,0,4,TIMEOUT,12,3,6
0.25,0,5,RESOURCE_TAKEN,9,0,7
0.25,0,6,TIMEOUT,12,0,8
0.25,0,7,RESOURCE_TAKEN,6,0,9
0.25,0,8,TIMEOUT,12,2,10
0.25,0,9,TIMEOUT,12,2,11
0.25,1,0,TIMEOUT,12,2,2
0.25,1,1,TIMEOUT,12,1,3
0.25,1,2,RESOURCE_TAKEN,12,0,4
0.25,1,3,TIMEOUT,12,2,5
0.25,1,4,TIMEOUT,12,1,6
0.25,1,5,TIMEOUT,12,2,7
0.25,1,6,RESOURCE_TAKEN,8,0,8
0.25,1,7,TIMEOUT,12,1,9
0.25,1,8,TIMEOUT,12,0,10
0.25,1,9,RESOURCE_TAKEN,10,0,11
0.25,2,0,TIMEOUT,12,2,2
0.25,2,1,RESOURCE_TAKEN,9,0,3
0.25,2,2,PARTNER_RESCUED,7,0,4
0.25,2,3,TIMEOUT,12,1,5
0.25,2,4,RESOURCE_TAKEN,10,0,6
0.25,2,5,TIMEOUT,12,2,7
0.25,2,6,TIMEOUT,12,2,8
0.25,2,7,TIMEOUT,12,0,9
0.25,2,8,TIMEOUT,12,0,10
0.25,2,9,TIMEOUT,12,0,11
0.25,3,0,TIMEOUT,12,0,2
0.25,3,1,TIMEOUT,12,0,3
0.25,3,2,TIMEOUT,12,1,4
0.25,3,3,TIMEOUT,12,0,5
0.25,3,4,TIMEOUT,12,0,6
0.25,3,5,TIMEOUT,12,2,7
0.25,3,6,TIMEOUT,12,1,8
0.25,3,7,RESOURCE_TAKEN,7,0,9
0.25,3,8,TIMEOUT,12,1,10
0.25,3,9,TIMEOUT,12,0,11
0.25,4,0,RESOURCE_TAKEN,11,0,2
0.25,4,1,TIMEOUT,12,1,3
0.25,4,2,TIMEOUT,12,0,4
0.25,4,3,RESOURCE_TAKEN,12,1,5
0.25,4,4,TIMEOUT,12,0,6
0.25,4,5,TIMEOUT,12,2,7
0.25,4,6,RESOURCE_TAKEN,9,0,8
0.25,4,7,TIMEOUT,12,2,9
0.25,4,8,TIMEOUT,12,2,10
0.25,4,9,TIMEOUT,12,1,11
0.25,5,0,TIMEOUT,12,0,2
0.25,5,1,TIMEOUT,12,1,3
0.25,5,2,RESOURCE_TAKEN,11,0,4
0.25,5,3,TIMEOUT,12,0,5
0.25,5,4,TIMEOUT,12,0,6
0.25,5,5,TIMEOUT,12,2,7
0.25,5,6,RESOURCE_TAKEN,10,0,8
0.25,5,7,TIMEOUT,12,1,9
0.25,5,8,TIMEOUT,12,2,10
0.25,5,9,RESOURCE_TAKEN,9,0,11
0.25,6,0,TIMEOUT,12,1,2
0.25,6,1,TIMEOUT,12,1,3
0.25,6,2,TIMEOUT,12,1,4
0.25,6,3,RESOURCE_TAKEN,12,1,5
0.25,6,4,TIMEOUT,12,2,6
0.25,6,5,RESOURCE_TAKEN,10,0,7
0.25,6,6,PARTNER_RESCUED,7,0,8
0.25,6,7,TIMEOUT,12,0,9
0.25,6,8,TIMEOUT,12,1,10
0.25,6,9,RESOURCE_TAKEN,12,0,11
0.25,7,0,TIMEOUT,12,1,2
0.25,7,1,TIMEOUT,12,1,3
0.25,7,2,TIMEOUT,12,0,4
0.25,7,3,RESOURCE_TAKEN,9,0,5
0.25,7,4,TIMEOUT,12,0,6
0.25,7,5,TIMEOUT,12,0,7
0.25,7,6,TIMEOUT,12,0,8
0.25,7,7,RESOURCE_TAKEN,11,0,9
0.25,7,8,TIMEOUT,12,1,10
0.25,7,9,TIMEOUT,12,2,11
0.25,8,0,TIMEOUT,12,2,2
0.25,8,1,RESOURCE_TAKEN,12,1,3
0.25,8,2,TIMEOUT,12,2,4
0.25,8,3,TIMEOUT,12,0,5
0.25,8,4,TIMEOUT,12,0,6
0.25,8,5,RESOURCE_TAKEN,8,0,7
0.25,8,6,TIMEOUT,12,0,8
0.25,8,7,TIMEOUT,12,1,9
0.25,8,8,RESOURCE_TAKEN,11,1,10
0.25,8,9,TIMEOUT,12,1,11
0.25,9,0,TIMEOUT,12,1,2
0.25,9,1,RESOURCE_TAKEN,9,0,3
0.25,9,2,TIMEOUT,12,0,4
0.25,9,3,TIMEOUT,12,0,5
0.25,9,4,RESOURCE_TAKEN,12,1,6
0.25,9,5,TIMEOUT,12,2,7
0.25,9,6,TIMEOUT,12,0,8
0.25,9,7,RESOURCE_TAKEN,12,0,9
0.25,9,8,TIMEOUT,12,1,10
0.25,9,9,TIMEOUT,12,2,11
0.25,10,0,TIMEOUT,12,2,2
