mode,beta_guilt,beta_loyalty,agent_id,episode_idx,outcome,rescued,n_memories
off,0.05,0.1,0,0,PARTNER_RESCUED,1,2
off,0.05,0.1,0,1,TIMEOUT,0,3
off,0.05,0.1,0,2,TIMEOUT,0,4
off,0.05,0.1,0,3,TIMEOUT,0,5
off,0.05,0.1,0,4,TIMEOUT,0,6
off,0.05,0.1,0,5,TIMEOUT,0,7
off,0.05,0.1,0,6,PARTNER_RESCUED,1,8
off,0.05,0.1,0,7,TIMEOUT,0,9
off,0.05,0.1,0,8,PARTNER_RESCUED,1,10
off,0.05,0.1,0,9,PARTNER_RESCUED,1,11
off,0.05,0.1,1,0,TIMEOUT,0,2
off,0.05,0.1,1,1,TIMEOUT,0,3
off,0.05,0.1,1,2,PARTNER_RESCUED,1,4
off,0.05,0.1,1,3,TIMEOUT,0,5
off,0.05,0.1,1,4,PARTNER_RESCUED,1,6
off,0.05,0.1,1,5,TIMEOUT,0,7
off,0.05,0.1,1,6,TIMEOUT,0,8
off,0.05,0.1,1,7,PARTNER_DEAD,0,9
off,0.05,0.1,1,8,PARTNER_RESCUED,1,10
off,0.05,0.1,1,9,PARTNER_RESCUED,1,11
off,0.05,0.1,2,0,PARTNER_RESCUED,1,2
off,0.05,0.1,2,1,TIMEOUT,0,3
off,0.05,0.1,2,2,TIMEOUT,0,4
off,0.05,0.1,2,3,PARTNER_RESCUED,1,5
off,0.05,0.1,2,4,PARTNER_RESCUED,1,6
off,0.05,0.1,2,5,TIMEOUT,0,7
off,0.05,0.1,2,6,TIMEOUT,0,8
off,0.05,0.1,2,7,TIMEOUT,0,9
off,0.05,0.1,2,8,PARTNER_RESCUED,1,10
off,0.05,0.1,2,9,PARTNER_RESCUED,1,11
off,0.05,0.1,3,0,TIMEOUT,0,2
off,0.05,0.1,3,1,TIMEOUT,0,3
off,0.05,0.1,3,2,TIMEOUT,0,4
off,0.05,0.1,3,3,TIMEOUT,0,5
off,0.05,0.1,3,4,TIMEOUT,0,6
off,0.05,0.1,3,5,TIMEOUT,0,7
off,0.05,0.1,3,6,TIMEOUT,0,8
off,0.05,0.1,3,7,PARTNER_RESCUED,1,9
off,0.05,0.1,3,8,TIMEOUT,0,10
off,0.05,0.1,3,9,TIMEOUT,0,11
off,0.05,0.1,4,0,PARTNER_RESCUED,1,2
off,0.05,0.1,4,1,TIMEOUT,0,3
off,0.05,0.1,4,2,TIMEOUT,0,4
off,0.05,0.1,4,3,PARTNER_RESCUED,1,5
off,0.05,0.1,4,4,PARTNER_RESCUED,1,6
off,0.05,0.1,4,5,TIMEOUT,0,7
off,0.05,0.1,4,6,TIMEOUT,0,8
off,0.05,0.1,4,7,TIMEOUT,0,9
off,0.05,0.1,4,8,TIMEOUT,0,10
off,0.05,0.1,4,9,TIMEOUT,0,11
off,0.05,0.1,5,0,PARTNER_RESCUED,1,2
off,0.05,0.1,5,1,PARTNER_DEAD,0,3
off,0.05,0.1,5,2,TIMEOUT,0,4
off,0.05,0.1,5,3,TIMEOUT,0,5
off,0.05,0.1,5,4,TIMEOUT,0,6
off,0.05,0.1,5,5,TIMEOUT,0,7
off,0.05,0.1,5,6,TIMEOUT,0,8
off,0.05,0.1,5,7,PARTNER_RESCUED,1,9
off,0.05,0.1,5,8,PARTNER_RESCUED,1,10
off,0.05,0.1,5,9,TIMEOUT,0,11
off,0.05,0.1,6,0,TIMEOUT,0,2
off,0.05,0.1,6,1,TIMEOUT,0,3
off,0.05,0.1,6,2,PARTNER_RESCUED,1,4
off,0.05,0.1,6,3,TIMEOUT,0,5
off,0.05,0.1,6,4,TIMEOUT,0,6
off,0.05,0.1,6,5,TIMEOUT,0,7
off,0.05,0.1,6,6,TIMEOUT,0,8
off,0.05,0.1,6,7,TIMEOUT,0,9
off,0.05,0.1,6,8,TIMEOUT,0,10
off,0.05,0.1,6,9,PARTNER_RESCUED,1,11
off,0.05,0.1,7,0,PARTNER_RESCUED,1,2
off,0.05,0.1,7,1,TIMEOUT,0,3
off,0.05,0.1,7,2,TIMEOUT,0,4
off,0.05,0.1,7,3,TIMEOUT,0,5
off,0.05,0.1,7,4,TIMEOUT,0,6
off,0.05,0.1,7,5,TIMEOUT,0,7
off,0.05,0.1,7,6,TIMEOUT,0,8
off,0.05,0.1,7,7,TIMEOUT,0,9
off,0.05,0.1,7,8,PARTNER_RESCUED,1,10
off,0.05,0.1,7,9,TIMEOUT,0,11
off,0.05,0.1,8,0,PARTNER_RESCUED,1,2
off,0.05,0.1,8,1,TIMEOUT,0,3
off,0.05,0.1,8,2,TIMEOUT,0,4
off,0.05,0.1,8,3,PARTNER_RESCUED,1,5
off,0.05,0.1,8,4,PARTNER_RESCUED,1,6
off,0.05,0.1,8,5,PARTNER_RESCUED,1,7
off,0.05,0.1,8,6,TIMEOUT,0,8
off,0.05,0.1,8,7,TIMEOUT,0,9
off,0.05,0.1,8,8,TIMEOUT,0,10
off,0.05,0.1,8,9,TIMEOUT,0,11
off,0.05,0.1,9,0,PARTNER_RESCUED,1,2
off,0.05,0.1,9,1,TIMEOUT,0,3
off,0.05,0.1,9,2,TIMEOUT,0,4
off,0.05,0.1,9,3,TIMEOUT,0,5
off,0.05,0.1,9,4,PARTNER_RESCUED,1,6
off,0.05,0.1,9,5,TIMEOUT,0,7
off,0.05,0.1,9,6,PARTNER_RESCUED,1,8
off,0.05,0.1,9,7,PARTNER_RESCUED,1,9
off,0.05,0.1,9,8,TIMEOUT,0,10
off,0.05,0.1,9,9,PARTNER_RESCUED,1,11
off,0.05,0.1,10,0,PARTNER_RESCUED,1,2
off,0.05,0.1,10,1,TIMEOUT,0,3
off,0.05,0.1,10,2,TIMEOUT,0,4
off,0.05,0.1,10,3,TIMEOUT,0,5
off,0.05,0.1,10,4,TIMEOUT,0,6
off,0.05,0.1,10,5,PARTNER_RESCUED,1,7
off,0.05,0.1,10,6,TIMEOUT,0,8
