mode,beta_guilt,beta_loyalty,agent_id,episode_idx,outcome,rescued,n_memories
off,0.05,0.3,0,0,PARTNER_RESCUED,1,2
off,0.05,0.3,0,1,TIMEOUT,0,3
off,0.05,0.3,0,2,PARTNER_RESCUED,1,4
off,0.05,0.3,0,3,TIMEOUT,0,5
off,0.05,0.3,0,4,TIMEOUT,0,6
off,0.05,0.3,0,5,PARTNER_RESCUED,1,7
off,0.05,0.3,0,6,TIMEOUT,0,8
off,0.05,0.3,0,7,PARTNER_RESCUED,1,9
off,0.05,0.3,0,8,TIMEOUT,0,10
off,0.05,0.3,0,9,TIMEOUT,0,11
off,0.05,0.3,1,0,PARTNER_RESCUED,1,2
off,0.05,0.3,1,1,TIMEOUT,0,3
off,0.05,0.3,1,2,TIMEOUT,0,4
off,0.05,0.3,1,3,TIMEOUT,0,5
off,0.05,0.3,1,4,PARTNER_RESCUED,1,6
off,0.05,0.3,1,5,TIMEOUT,0,7
off,0.05,0.3,1,6,TIMEOUT,0,8
off,0.05,0.3,1,7,TIMEOUT,0,9
off,0.05,0.3,1,8,PARTNER_RESCUED,1,10
off,0.05,0.3,1,9,TIMEOUT,0,11
off,0.05,0.3,2,0,PARTNER_RESCUED,1,2
off,0.05,0.3,2,1,RESOURCE_TAKEN,0,3
off,0.05,0.3,2,2,PARTNER_RESCUED,1,4
off,0.05,0.3,2,3,PARTNER_RESCUED,1,5
off,0.05,0.3,2,4,TIMEOUT,0,6
off,0.05,0.3,2,5,PARTNER_RESCUED,1,7
off,0.05,0.3,2,6,TIMEOUT,0,8
off,0.05,0.3,2,7,PARTNER_RESCUED,1,9
off,0.05,0.3,2,8,TIMEOUT,0,10
off,0.05,0.3,2,9,TIMEOUT,0,11
off,0.05,0.3,3,0,TIMEOUT,0,2
off,0.05,0.3,3,1,PARTNER_RESCUED,1,3
off,0.05,0.3,3,2,TIMEOUT,0,4
off,0.05,0.3,3,3,TIMEOUT,0,5
off,0.05,0.3,3,4,TIMEOUT,0,6
off,0.05,0.3,3,5,PARTNER_RESCUED,1,7
off,0.05,0.3,3,6,TIMEOUT,0,8
off,0.05,0.3,3,7,TIMEOUT,0,9
off,0.05,0.3,3,8,TIMEOUT,0,10
off,0.05,0.3,3,9,TIMEOUT,0,11
off,0.05,0.3,4,0,PARTNER_RESCUED,1,2
off,0.05,0.3,4,1,RESOURCE_TAKEN,0,3
off,0.05,0.3,4,2,TIMEOUT,0,4
off,0.05,0.3,4,3,PARTNER_RESCUED,1,5
off,0.05,0.3,4,4,TIMEOUT,0,6
