cell,jitter,tag_aware,agent_id,episode_idx,outcome,rescued,n_memories,target_switches
off_off,0.0,0,0,0,PARTNER_RESCUED,1,2,0
off_off,0.0,0,0,1,TIMEOUT,0,3,2
off_off,0.0,0,0,2,TIMEOUT,0,4,2
off_off,0.0,0,0,3,RESOURCE_TAKEN,0,5,0
off_off,0.0,0,0,4,TIMEOUT,0,6,1
off_off,0.0,0,0,5,TIMEOUT,0,7,1
off_off,0.0,0,0,6,RESOURCE_TAKEN,0,8,1
off_off,0.0,0,0,7,TIMEOUT,0,9,0
off_off,0.0,0,0,8,TIMEOUT,0,10,1
off_off,0.0,0,0,9,TIMEOUT,0,11,1
off_off,0.0,0,0,10,TIMEOUT,0,12,0
off_off,0.0,0,0,11,TIMEOUT,0,13,0
off_off,0.0,0,0,12,RESOURCE_TAKEN,0,14,0
off_off,0.0,0,0,13,PARTNER_RESCUED,1,15,0
off_off,0.0,0,0,14,TIMEOUT,0,16,0
off_off,0.0,0,0,15,TIMEOUT,0,17,0
off_off,0.0,0,0,16,TIMEOUT,0,18,0
off_off,0.0,0,0,17,TIMEOUT,0,19,0
off_off,0.0,0,0,18,RESOURCE_TAKEN,0,20,0
off_off,0.0,0,0,19,PARTNER_RESCUED,1,21,0
off_off,0.0,0,1,0,PARTNER_RESCUED,1,2,0
off_off,0.0,0,1,1,TIMEOUT,0,3,1
off_off,0.0,0,1,2,RESOURCE_TAKEN,0,4,0
off_off,0.0,0,1,3,TIMEOUT,0,5,1
off_off,0.0,0,1,4,RESOURCE_TAKEN,0,6,0
off_off,0.0,0,1,5,PARTNER_RESCUED,1,7,0
off_off,0.0,0,1,6,TIMEOUT,0,8,1
off_off,0.0,0,1,7,TIMEOUT,0,9,1
off_off,0.0,0,1,8,RESOURCE_TAKEN,0,10,0
off_off,0.0,0,1,9,TIMEOUT,0,11,0
off_off,0.0,0,1,10,TIMEOUT,0,12,2
off_off,0.0,0,1,11,TIMEOUT,0,13,1
off_off,0.0,0,1,12,TIMEOUT,0,14,1
off_off,0.0,0,1,13,RESOURCE_TAKEN,0,15,0
