sigma,agent_id,episode_idx,outcome,rescued,n_memories,target_switches
0.0,0,0,PARTNER_RESCUED,1,2,0
0.0,0,1,PARTNER_RESCUED,1,3,0
0.0,0,2,PARTNER_RESCUED,1,4,0
0.0,0,3,PARTNER_RESCUED,1,5,0
0.0,0,4,TIMEOUT,0,6,1
0.0,0,5,TIMEOUT,0,7,1
0.0,0,6,TIMEOUT,0,8,0
0.0,0,7,TIMEOUT,0,9,0
0.0,0,8,PARTNER_RESCUED,1,10,0
0.0,0,9,PARTNER_RESCUED,1,11,0
0.0,0,10,TIMEOUT,0,12,1
0.0,0,11,PARTNER_RESCUED,1,13,0
0.0,0,12,TIMEOUT,0,14,1
0.0,0,13,TIMEOUT,0,15,2
0.0,0,14,TIMEOUT,0,16,1
0.0,0,15,TIMEOUT,0,17,0
0.0,0,16,TIMEOUT,0,18,0
0.0,0,17,TIMEOUT,0,19,0
0.0,0,18,PARTNER_RESCUED,1,20,0
0.0,0,19,TIMEOUT,0,21,0
0.0,1,0,PARTNER_RESCUED,1,2,0
0.0,1,1,TIMEOUT,0,3,1
0.0,1,2,PARTNER_RESCUED,1,4,0
0.0,1,3,TIMEOUT,0,5,1
0.0,1,4,TIMEOUT,0,6,1
0.0,1,5,TIMEOUT,0,7,0
0.0,1,6,PARTNER_RESCUED,1,8,0
0.0,1,7,PARTNER_RESCUED,1,9,0
0.0,1,8,PARTNER_RESCUED,1,10,0
0.0,1,9,PARTNER_RESCUED,1,11,0
0.0,1,10,PARTNER_RESCUED,1,12,0
0.0,1,11,PARTNER_RESCUED,1,13,0
0.0,1,12,PARTNER_RESCUED,1,14,0
0.0,1,13,PARTNER_RESCUED,1,15,0
0.0,1,14,PARTNER_RESCUED,1,16,0
0.0,1,15,TIMEOUT,0,17,2
0.0,1,16,TIMEOUT,0,18,0
0.0,1,17,TIMEOUT,0,19,1
0.0,1,18,TIMEOUT,0,20,1
0.0,1,19,PARTNER_RESCUED,1,21,0
0.0,2,0,PARTNER_RESCUED,1,2,0
0.0,2,1,PARTNER_RESCUED,1,3,0
0.0,2,2,PARTNER_RESCUED,1,4,0
0.0,2,3,TIMEOUT,0,5,1
0.0,2,4,TIMEOUT,0,6,0
0.0,2,5,TIMEOUT,0,7,1
0.0,2,6,TIMEOUT,0,8,0
0.0,2,7,TIMEOUT,0,9,2
0.0,2,8,TIMEOUT,0,10,1
0.0,2,9,PARTNER_RESCUED,1,11,0
