beta_guilt,beta_loyalty,kappa,agent_id,ep0_outcome,ep1_outcome,snapshot_after_ep,mem_idx,tag,age,importance,guilt,loyalty,survival,fear,curiosity,emo_magnitude,mem_class
0.05,0.05,0.5,0,PARTNER_RESCUED,RESOURCE_TAKEN,4,0,seed,70,0.9,0.05358469959497647,0.035723133063317654,0.2,0.1,0.0,0.38930783265829416,guilt
0.05,0.05,0.5,0,PARTNER_RESCUED,RESOURCE_TAKEN,4,1,rescue,48,0.7,0.0,0.06820607226744653,0.1,0.1,0.0,0.2682060722674465,loyalty
0.05,0.05,0.5,0,PARTNER_RESCUED,RESOURCE_TAKEN,4,2,failure,36,0.85,0.1341123325699928,0.07888960739411338,0.3,0.2,0.0,0.7130019399641061,guilt
0.05,0.05,0.5,0,PARTNER_RESCUED,RESOURCE_TAKEN,4,3,timeout,24,0.5,0.11679560973550897,0.08759670730163172,0.2,0.2,0.0,0.6043923170371407,guilt
0.05,0.05,0.5,0,PARTNER_RESCUED,RESOURCE_TAKEN,4,4,timeout,12,0.5,0.21614403506505467,0.162108026298791,0.2,0.2,0.0,0.7782520613638457,guilt
0.05,0.05,0.5,0,PARTNER_RESCUED,RESOURCE_TAKEN,4,5,timeout,0,0.5,0.4,0.3,0.2,0.2,0.0,1.1,guilt
0.05,0.05,0.5,0,PARTNER_RESCUED,RESOURCE_TAKEN,9,0,seed,127,0.9,0.0028792959196579926,0.001919530613105328,0.2,0.1,0.0,0.30479882653276336,guilt
0.05,0.05,0.5,0,PARTNER_RESCUED,RESOURCE_TAKEN,9,1,rescue,105,0.7,0.0,0.0036649541204849443,0.1,0.1,0.0,0.20366495412048496,loyalty
0.05,0.05,0.5,0,PARTNER_RESCUED,RESOURCE_TAKEN,9,2,failure,93,0.85,0.007206331189002271,0.0042390183464719195,0.3,0.2,0.0,0.5114453495354743,guilt
0.05,0.05,0.5,0,PARTNER_RESCUED,RESOURCE_TAKEN,9,3,timeout,81,0.5,0.006275842266305155,0.004706881699728869,0.2,0.2,0.0,0.4109827239660341,guilt
