beta_guilt,beta_loyalty,kappa,agent_id,episode_idx,outcome,rescued,n_memories,target_switches
0.05,0.05,0.5,0,0,PARTNER_RESCUED,1,2,0
0.05,0.05,0.5,0,1,RESOURCE_TAKEN,0,3,0
0.05,0.05,0.5,0,2,TIMEOUT,0,4,0
0.05,0.05,0.5,0,3,TIMEOUT,0,5,0
0.05,0.05,0.5,0,4,TIMEOUT,0,6,0
0.05,0.05,0.5,0,5,TIMEOUT,0,7,2
0.05,0.05,0.5,0,6,RESOURCE_TAKEN,0,8,0
0.05,0.05,0.5,0,7,TIMEOUT,0,9,0
0.05,0.05,0.5,0,8,TIMEOUT,0,10,3
0.05,0.05,0.5,0,9,RESOURCE_TAKEN,0,11,0
0.05,0.05,0.5,1,0,TIMEOUT,0,2,1
0.05,0.05,0.5,1,1,TIMEOUT,0,3,0
0.05,0.05,0.5,1,2,RESOURCE_TAKEN,0,4,0
0.05,0.05,0.5,1,3,TIMEOUT,0,5,1
0.05,0.05,0.5,1,4,TIMEOUT,0,6,1
0.05,0.05,0.5,1,5,RESOURCE_TAKEN,0,7,0
0.05,0.05,0.5,1,6,TIMEOUT,0,8,0
0.05,0.05,0.5,1,7,TIMEOUT,0,9,1
0.05,0.05,0.5,1,8,TIMEOUT,0,10,2
0.05,0.05,0.5,1,9,TIMEOUT,0,11,1
0.05,0.05,0.5,2,0,TIMEOUT,0,2,0
0.05,0.05,0.5,2,1,TIMEOUT,0,3,1
0.05,0.05,0.5,2,2,RESOURCE_TAKEN,0,4,0
0.05,0.05,0.5,2,3,TIMEOUT,0,5,0
0.05,0.05,0.5,2,4,TIMEOUT,0,6,2
0.05,0.05,0.5,2,5,RESOURCE_TAKEN,0,7,0
0.05,0.05,0.5,2,6,PARTNER_RESCUED,1,8,0
0.05,0.05,0.5,2,7,TIMEOUT,0,9,1
0.05,0.05,0.5,2,8,RESOURCE_TAKEN,0,10,0
0.05,0.05,0.5,2,9,TIMEOUT,0,11,0
0.05,0.05,0.5,3,0,TIMEOUT,0,2,1
0.05,0.05,0.5,3,1,RESOURCE_TAKEN,0,3,0
0.05,0.05,0.5,3,2,TIMEOUT,0,4,1
0.05,0.05,0.5,3,3,TIMEOUT,0,5,0
0.05,0.05,0.5,3,4,TIMEOUT,0,6,0
0.05,0.05,0.5,3,5,TIMEOUT,0,7,0
0.05,0.05,0.5,3,6,TIMEOUT,0,8,0
0.05,0.05,0.5,3,7,TIMEOUT,0,9,2
0.05,0.05,0.5,3,8,RESOURCE_TAKEN,0,10,0
0.05,0.05,0.5,3,9,TIMEOUT,0,11,0
0.05,0.05,0.5,4,0,PARTNER_RESCUED,1,2,0
0.05,0.05,0.5,4,1,TIMEOUT,0,3,2
0.05,0.05,0.5,4,2,RESOURCE_TAKEN,0,4,0
0.05,0.05,0.5,4,3,PARTNER_RESCUED,1,5,0
0.05,0.05,0.5,4,4,TIMEOUT,0,6,1
0.05,0.05,0.5,4,5,RESOURCE_TAKEN,0,7,0
0.05,0.05,0.5,4,6,TIMEOUT,0,8,1
0.05,0.05,0.5,4,7,TIMEOUT,0,9,1
0.05,0.05,0.5,4,8,RESOURCE_TAKEN,0,10,0
0.05,0.05,0.5,4,9,PARTNER_RESCUED,1,11,0
0.05,0.05,0.5,5,0,TIMEOUT,0,2,0
0.05,0.05,0.5,5,1,TIMEOUT,0,3,0
0.05,0.05,0.5,5,2,RESOURCE_TAKEN,0,4,0
0.05,0.05,0.5,5,3,TIMEOUT,0,5,2
0.05,0.05,0.5,5,4,TIMEOUT,0,6,1
0.05,0.05,0.5,5,5,RESOURCE_TAKEN,0,7,0
0.05,0.05,0.5,5,6,TIMEOUT,0,8,0
0.05,0.05,0.5,5,7,TIMEOUT,0,9,1
0.05,0.05,0.5,5,8,TIMEOUT,0,10,0
0.05,0.05,0.5,5,9,RESOURCE_TAKEN,0,11,0
0.05,0.05,0.5,6,0,TIMEOUT,0,2,0
0.05,0.05,0.5,6,1,TIMEOUT,0,3,0
0.05,0.05,0.5,6,2,RESOURCE_TAKEN,0,4,0
0.05,0.05,0.5,6,3,PARTNER_RESCUED,1,5,0
0.05,0.05,0.5,6,4,TIMEOUT,0,6,3
0.05,0.05,0.5,6,5,RESOURCE_TAKEN,0,7,0
0.05,0.05,0.5,6,6,TIMEOUT,0,8,1
0.05,0.05,0.5,6,7,TIMEOUT,0,9,0
0.05,0.05,0.5,6,8,RESOURCE_TAKEN,0,10,0
0.05,0.05,0.5,6,9,TIMEOUT,0,11,2
0.05,0.05,0.5,7,0,TIMEOUT,0,2,1
0.05,0.05,0.5,7,1,RESOURCE_TAKEN,0,3,0
0.05,0.05,0.5,7,2,TIMEOUT,0,4,1
0.05,0.05,0.5,7,3,RESOURCE_TAKEN,0,5,0
0.05,0.05,0.5,7,4,TIMEOUT,0,6,2
0.05,0.05,0.5,7,5,RESOURCE_TAKEN,0,7,0
0.05,0.05,0.5,7,6,TIMEOUT,0,8,1
0.05,0.05,0.5,7,7,TIMEOUT,0,9,2
0.05,0.05,0.5,7,8,RESOURCE_TAKEN,0,10,0
0.05,0.05,0.5,7,9,TIMEOUT,0,11,0
0.05,0.05,0.5,8,0,TIMEOUT,0,2,0
0.05,0.05,0.5,8,1,RESOURCE_TAKEN,0,3,0
0.05,0.05,0.5,8,2,TIMEOUT,0,4,0
0.05,0.05,0.5,8,3,RESOURCE_TAKEN,0,5,0
0.05,0.05,0.5,8,4,PARTNER_RESCUED,1,6,0
0.05,0.05,0.5,8,5,TIMEOUT,0,7,1
0.05,0.05,0.5,8,6,RESOURCE_TAKEN,0,8,0
0.05,0.05,0.5,8,7,PARTNER_RESCUED,1,9,0
0.05,0.05,0.5,8,8,TIMEOUT,0,10,1
0.05,0.05,0.5,8,9,TIMEOUT,0,11,0
0.05,0.05,0.5,9,0,PARTNER_RESCUED,1,2,0
0.05,0.05,0.5,9,1,RESOURCE_TAKEN,0,3,0
0.05,0.05,0.5,9,2,TIMEOUT,0,4,2
0.05,0.05,0.5,9,3,TIMEOUT,0,5,1
0.05,0.05,0.5,9,4,TIMEOUT,0,6,0
0.05,0.05,0.5,9,5,TIMEOUT,0,7,1
0.05,0.05,0.5,9,6,TIMEOUT,0,8,0
0.05,0.05,0.5,9,7,TIMEOUT,0,9,1
0.05,0.05,0.5,9,8,RESOURCE_TAKEN,0,10,1
0.05,0.05,0.5,9,9,TIMEOUT,0,11,2
0.05,0.05,0.5,10,0,TIMEOUT,0,2,1
0.05,0.05,0.5,10,1,RESOURCE_TAKEN,0,3,0
