rescue_importance,agent_id,episode_idx,outcome,rescued,n_memories,target_switches
0.0,0,0,PARTNER_RESCUED,1,2,0
0.0,0,1,PARTNER_RESCUED,1,3,0
0.0,0,2,TIMEOUT,0,4,1
0.0,0,3,TIMEOUT,0,5,1
0.0,0,4,TIMEOUT,0,6,1
0.0,0,5,TIMEOUT,0,7,0
0.0,0,6,TIMEOUT,0,8,0
0.0,0,7,RESOURCE_TAKEN,0,9,0
0.0,0,8,TIMEOUT,0,10,1
0.0,0,9,TIMEOUT,0,11,1
0.0,1,0,PARTNER_RESCUED,1,2,0
0.0,1,1,PARTNER_RESCUED,1,3,0
0.0,1,2,TIMEOUT,0,4,1
0.0,1,3,TIMEOUT,0,5,1
0.0,1,4,TIMEOUT,0,6,2
0.0,1,5,TIMEOUT,0,7,1
0.0,1,6,RESOURCE_TAKEN,0,8,0
0.0,1,7,TIMEOUT,0,9,1
0.0,1,8,PARTNER_RESCUED,1,10,0
0.0,1,9,PARTNER_RESCUED,1,11,0
0.0,2,0,TIMEOUT,0,2,1
0.0,2,1,PARTNER_RESCUED,1,3,0
0.0,2,2,PARTNER_RESCUED,1,4,0
0.0,2,3,TIMEOUT,0,5,1
0.0,2,4,TIMEOUT,0,6,2
0.0,2,5,TIMEOUT,0,7,2
0.0,2,6,TIMEOUT,0,8,2
0.0,2,7,TIMEOUT,0,9,1
0.0,2,8,TIMEOUT,0,10,1
0.0,2,9,TIMEOUT,0,11,2
0.0,3,0,PARTNER_RESCUED,1,2,0
0.0,3,1,TIMEOUT,0,3,0
0.0,3,2,TIMEOUT,0,4,0
0.0,3,3,TIMEOUT,0,5,0
0.0,3,4,TIMEOUT,0,6,0
0.0,3,5,TIMEOUT,0,7,2
0.0,3,6,RESOURCE_TAKEN,0,8,0
0.0,3,7,TIMEOUT,0,9,1
0.0,3,8,PARTNER_RESCUED,1,10,0
0.0,3,9,TIMEOUT,0,11,1
0.0,4,0,PARTNER_RESCUED,1,2,0
0.0,4,1,TIMEOUT,0,3,0
0.0,4,2,TIMEOUT,0,4,1
0.0,4,3,TIMEOUT,0,5,2
0.0,4,4,TIMEOUT,0,6,2
0.0,4,5,TIMEOUT,0,7,0
0.0,4,6,TIMEOUT,0,8,0
0.0,4,7,TIMEOUT,0,9,0
0.0,4,8,TIMEOUT,0,10,3
0.0,4,9,TIMEOUT,0,11,2
0.0,5,0,TIMEOUT,0,2,1
0.0,5,1,TIMEOUT,0,3,1
