capacity,agent_id,episode_idx,outcome,rescued,n_memories,target_switches
2,0,0,TIMEOUT,0,2,1
2,0,1,TIMEOUT,0,2,1
2,0,2,TIMEOUT,0,2,0
2,0,3,TIMEOUT,0,2,1
2,0,4,TIMEOUT,0,2,0
2,0,5,TIMEOUT,0,2,2
2,0,6,RESOURCE_TAKEN,0,2,0
2,0,7,PARTNER_RESCUED,1,2,0
2,0,8,TIMEOUT,0,2,1
2,0,9,TIMEOUT,0,2,2
2,1,0,PARTNER_RESCUED,1,2,0
2,1,1,TIMEOUT,0,2,0
2,1,2,TIMEOUT,0,2,2
2,1,3,TIMEOUT,0,2,1
2,1,4,TIMEOUT,0,2,0
2,1,5,TIMEOUT,0,2,0
2,1,6,TIMEOUT,0,2,1
2,1,7,TIMEOUT,0,2,1
2,1,8,TIMEOUT,0,2,1
2,1,9,RESOURCE_TAKEN,0,2,0
2,2,0,PARTNER_RESCUED,1,2,0
2,2,1,TIMEOUT,0,2,0
2,2,2,RESOURCE_TAKEN,0,2,0
2,2,3,PARTNER_RESCUED,1,2,0
2,2,4,PARTNER_RESCUED,1,2,0
2,2,5,TIMEOUT,0,2,1
2,2,6,TIMEOUT,0,2,0
2,2,7,RESOURCE_TAKEN,0,2,0
2,2,8,TIMEOUT,0,2,1
2,2,9,TIMEOUT,0,2,0
2,3,0,TIMEOUT,0,2,1
2,3,1,PARTNER_RESCUED,1,2,0
2,3,2,TIMEOUT,0,2,0
2,3,3,RESOURCE_TAKEN,0,2,1
2,3,4,PARTNER_RESCUED,1,2,0
2,3,5,PARTNER_RESCUED,1,2,0
2,3,6,PARTNER_RESCUED,1,2,0
2,3,7,TIMEOUT,0,2,2
2,3,8,TIMEOUT,0,2,0
2,3,9,RESOURCE_TAKEN,0,2,0
2,4,0,TIMEOUT,0,2,1
2,4,1,TIMEOUT,0,2,1
2,4,2,RESOURCE_TAKEN,0,2,0
2,4,3,PARTNER_RESCUED,1,2,0
2,4,4,TIMEOUT,0,2,1
2,4,5,TIMEOUT,0,2,0
2,4,6,RESOURCE_TAKEN,0,2,0
2,4,7,PARTNER_RESCUED,1,2,0
2,4,8,PARTNER_RESCUED,1,2,0
2,4,9,TIMEOUT,0,2,2
2,5,0,PARTNER_RESCUED,1,2,0
2,5,1,TIMEOUT,0,2,0
2,5,2,TIMEOUT,0,2,0
2,5,3,TIMEOUT,0,2,2
2,5,4,TIMEOUT,0,2,3
2,5,5,TIMEOUT,0,2,0
2,5,6,TIMEOUT,0,2,0
2,5,7,RESOURCE_TAKEN,0,2,0
2,5,8,PARTNER_RESCUED,1,2,0
2,5,9,PARTNER_RESCUED,1,2,0
2,6,0,TIMEOUT,0,2,1
2,6,1,TIMEOUT,0,2,0
2,6,2,PARTNER_DEAD,0,2,1
2,6,3,PARTNER_RESCUED,1,2,0
2,6,4,PARTNER_RESCUED,1,2,0
2,6,5,TIMEOUT,0,2,1
2,6,6,TIMEOUT,0,2,0
2,6,7,TIMEOUT,0,2,0
2,6,8,PARTNER_RESCUED,1,2,0
2,6,9,TIMEOUT,0,2,1
2,7,0,TIMEOUT,0,2,0
2,7,1,TIMEOUT,0,2,0
2,7,2,RESOURCE_TAKEN,0,2,0
2,7,3,PARTNER_RESCUED,1,2,0
2,7,4,PARTNER_RESCUED,1,2,0
2,7,5,TIMEOUT,0,2,0
2,7,6,TIMEOUT,0,2,2
2,7,7,RESOURCE_TAKEN,0,2,0
2,7,8,PARTNER_RESCUED,1,2,0
2,7,9,PARTNER_RESCUED,1,2,0
2,8,0,PARTNER_RESCUED,1,2,0
2,8,1,TIMEOUT,0,2,0
2,8,2,TIMEOUT,0,2,2
2,8,3,TIMEOUT,0,2,0
2,8,4,TIMEOUT,0,2,0
2,8,5,TIMEOUT,0,2,2
2,8,6,TIMEOUT,0,2,2
2,8,7,RESOURCE_TAKEN,0,2,1
2,8,8,PARTNER_RESCUED,1,2,0
