beta_guilt,beta_loyalty,agent_id,ep0_outcome,ep1_outcome,snapshot_after_ep,mem_idx,tag,age,importance,guilt,loyalty,survival,fear,curiosity,emo_magnitude,mem_class
0.05,0.05,0,PARTNER_RESCUED,TIMEOUT,4,0,seed,69,0.9,0.0564049469420805,0.037603297961387006,0.2,0.1,0.0,0.39400824490346753,guilt
0.05,0.05,0,PARTNER_RESCUED,TIMEOUT,4,1,rescue,47,0.7,0.0,0.07179586554468056,0.1,0.1,0.0,0.2717958655446806,loyalty
0.05,0.05,0,PARTNER_RESCUED,TIMEOUT,4,2,timeout,35,0.5,0.06643335359504285,0.04982501519628215,0.2,0.2,0.0,0.5162583687913249,guilt
0.05,0.05,0,PARTNER_RESCUED,TIMEOUT,4,3,timeout,23,0.5,0.12294274709000945,0.09220706031750707,0.2,0.2,0.0,0.6151498074075166,guilt
0.05,0.05,0,PARTNER_RESCUED,TIMEOUT,4,4,timeout,11,0.5,0.22752003691058387,0.1706400276829379,0.2,0.2,0.0,0.7981600645935218,guilt
0.05,0.05,0,PARTNER_RESCUED,TIMEOUT,4,5,failure,0,0.85,0.85,0.5,0.3,0.2,0.0,1.8499999999999999,guilt
0.05,0.05,0,PARTNER_RESCUED,TIMEOUT,9,0,seed,124,0.9,0.0033582690417355214,0.002238846027823681,0.2,0.1,0.0,0.3055971150695592,guilt
0.05,0.05,0,PARTNER_RESCUED,TIMEOUT,9,1,rescue,102,0.7,0.0,0.004274622097081143,0.1,0.1,0.0,0.20427462209708114,loyalty
0.05,0.05,0,PARTNER_RESCUED,TIMEOUT,9,2,timeout,90,0.5,0.003955345883863578,0.0029665094128976843,0.2,0.2,0.0,0.4069218552967613,guilt
0.05,0.05,0,PARTNER_RESCUED,TIMEOUT,9,3,timeout,78,0.5,0.007319833522443687,0.005489875141832769,0.2,0.2,0.0,0.41280970866427646,guilt
0.05,0.05,0,PARTNER_RESCUED,TIMEOUT,9,4,timeout,66,0.5,0.013546214255212876,0.010159660691409661,0.2,0.2,0.0,0.4237058749466226,guilt
0.05,0.05,0,PARTNER_RESCUED,TIMEOUT,9,5,failure,55,0.85,0.05060777183970002,0.029769277552764692,0.3,0.2,0.0,0.5803770493924647,guilt
0.05,0.05,0,PARTNER_RESCUED,TIMEOUT,9,6,rescue,48,0.7,0.0,0.06820607226744653,0.1,0.1,0.0,0.2682060722674465,loyalty
0.05,0.05,0,PARTNER_RESCUED,TIMEOUT,9,7,timeout,36,0.5,0.0631116859152907,0.04733376443646804,0.2,0.2,0.0,0.5104454503517588,guilt
0.05,0.05,0,PARTNER_RESCUED,TIMEOUT,9,8,timeout,24,0.5,0.11679560973550897,0.08759670730163172,0.2,0.2,0.0,0.6043923170371407,guilt
0.05,0.05,0,PARTNER_RESCUED,TIMEOUT,9,9,timeout,12,0.5,0.21614403506505467,0.162108026298791,0.2,0.2,0.0,0.7782520613638457,guilt
0.05,0.05,0,PARTNER_RESCUED,TIMEOUT,9,10,timeout,0,0.5,0.4,0.3,0.2,0.2,0.0,1.1,guilt
0.05,0.05,1,TIMEOUT,TIMEOUT,4,0,seed,75,0.9,0.04146281908825676,0.027641879392171168,0.2,0.1,0.0,0.36910469848042793,guilt
0.05,0.05,1,TIMEOUT,TIMEOUT,4,1,timeout,48,0.5,0.034103036133723265,0.025577277100292468,0.2,0.2,0.0,0.45968031323401576,guilt
0.05,0.05,1,TIMEOUT,TIMEOUT,4,2,timeout,36,0.5,0.0631116859152907,0.04733376443646804,0.2,0.2,0.0,0.5104454503517588,guilt
0.05,0.05,1,TIMEOUT,TIMEOUT,4,3,timeout,24,0.5,0.11679560973550897,0.08759670730163172,0.2,0.2,0.0,0.6043923170371407,guilt
0.05,0.05,1,TIMEOUT,TIMEOUT,4,4,timeout,12,0.5,0.21614403506505467,0.162108026298791,0.2,0.2,0.0,0.7782520613638457,guilt
0.05,0.05,1,TIMEOUT,TIMEOUT,4,5,timeout,0,0.5,0.4,0.3,0.2,0.2,0.0,1.1,guilt
0.05,0.05,1,TIMEOUT,TIMEOUT,9,0,seed,125,0.9,0.0031903555896487454,0.002126903726432497,0.2,0.1,0.0,0.3053172593160812,guilt
