kappa,softmax_temp,agent_id,outcome,rescued,resource,partner_dead,timeout,steps_used,target_switches
0.1,0.01,0,RESOURCE_TAKEN,0,1,0,0,9,0
0.1,0.01,1,RESOURCE_TAKEN,0,1,0,0,9,0
0.1,0.01,2,RESOURCE_TAKEN,0,1,0,0,6,0
0.1,0.01,3,RESOURCE_TAKEN,0,1,0,0,8,0
0.1,0.01,4,RESOURCE_TAKEN,0,1,0,0,6,0
0.1,0.01,5,RESOURCE_TAKEN,0,1,0,0,8,0
0.1,0.01,6,RESOURCE_TAKEN,0,1,0,0,8,0
0.1,0.01,7,RESOURCE_TAKEN,0,1,0,0,8,0
0.1,0.01,8,RESOURCE_TAKEN,0,1,0,0,9,0
0.1,0.01,9,RESOURCE_TAKEN,0,1,0,0,9,0
0.1,0.01,10,RESOURCE_TAKEN,0,1,0,0,9,0
0.1,0.01,11,RESOURCE_TAKEN,0,1,0,0,8,0
0.1,0.01,12,RESOURCE_TAKEN,0,1,0,0,9,0
0.1,0.01,13,RESOURCE_TAKEN,0,1,0,0,6,0
0.1,0.01,14,RESOURCE_TAKEN,0,1,0,0,8,0
0.1,0.01,15,RESOURCE_TAKEN,0,1,0,0,8,0
0.1,0.01,16,RESOURCE_TAKEN,0,1,0,0,6,0
0.1,0.01,17,RESOURCE_TAKEN,0,1,0,0,6,0
0.1,0.01,18,RESOURCE_TAKEN,0,1,0,0,6,0
0.1,0.01,19,RESOURCE_TAKEN,0,1,0,0,7,0
0.1,0.01,20,RESOURCE_TAKEN,0,1,0,0,6,0
0.1,0.01,21,RESOURCE_TAKEN,0,1,0,0,6,0
0.1,0.01,22,RESOURCE_TAKEN,0,1,0,0,8,0
0.1,0.01,23,RESOURCE_TAKEN,0,1,0,0,8,0
0.1,0.01,24,RESOURCE_TAKEN,0,1,0,0,8,0
0.1,0.01,25,RESOURCE_TAKEN,0,1,0,0,8,0
0.1,0.01,26,RESOURCE_TAKEN,0,1,0,0,9,0
0.1,0.01,27,RESOURCE_TAKEN,0,1,0,0,9,0
0.1,0.01,28,RESOURCE_TAKEN,0,1,0,0,8,0
0.1,0.01,29,RESOURCE_TAKEN,0,1,0,0,6,0
0.1,0.01,30,RESOURCE_TAKEN,0,1,0,0,8,0
0.1,0.01,31,RESOURCE_TAKEN,0,1,0,0,9,0
0.1,0.01,32,RESOURCE_TAKEN,0,1,0,0,8,0
0.1,0.01,33,RESOURCE_TAKEN,0,1,0,0,6,0
0.1,0.01,34,RESOURCE_TAKEN,0,1,0,0,7,0
0.1,0.01,35,RESOURCE_TAKEN,0,1,0,0,8,0
