condition,mem_capacity,encoding_jitter,agent_id,episode_idx,outcome,rescued,n_memories,target_switches
baseline,9999,0.0,0,0,PARTNER_RESCUED,1,2,0
baseline,9999,0.0,0,1,TIMEOUT,0,3,0
baseline,9999,0.0,0,2,PARTNER_RESCUED,1,4,0
baseline,9999,0.0,0,3,TIMEOUT,0,5,0
baseline,9999,0.0,0,4,TIMEOUT,0,6,2
baseline,9999,0.0,0,5,TIMEOUT,0,7,0
baseline,9999,0.0,0,6,TIMEOUT,0,8,1
baseline,9999,0.0,0,7,TIMEOUT,0,9,0
baseline,9999,0.0,0,8,TIMEOUT,0,10,0
baseline,9999,0.0,0,9,RESOURCE_TAKEN,0,11,1
baseline,9999,0.0,1,0,PARTNER_RESCUED,1,2,0
baseline,9999,0.0,1,1,TIMEOUT,0,3,0
baseline,9999,0.0,1,2,TIMEOUT,0,4,2
baseline,9999,0.0,1,3,TIMEOUT,0,5,2
baseline,9999,0.0,1,4,TIMEOUT,0,6,0
baseline,9999,0.0,1,5,TIMEOUT,0,7,2
baseline,9999,0.0,1,6,TIMEOUT,0,8,0
baseline,9999,0.0,1,7,TIMEOUT,0,9,0
baseline,9999,0.0,1,8,TIMEOUT,0,10,1
baseline,9999,0.0,1,9,TIMEOUT,0,11,0
baseline,9999,0.0,2,0,PARTNER_RESCUED,1,2,0
baseline,9999,0.0,2,1,TIMEOUT,0,3,0
baseline,9999,0.0,2,2,TIMEOUT,0,4,2
baseline,9999,0.0,2,3,TIMEOUT,0,5,0
baseline,9999,0.0,2,4,TIMEOUT,0,6,0
baseline,9999,0.0,2,5,TIMEOUT,0,7,0
baseline,9999,0.0,2,6,TIMEOUT,0,8,0
baseline,9999,0.0,2,7,TIMEOUT,0,9,1
baseline,9999,0.0,2,8,TIMEOUT,0,10,2
baseline,9999,0.0,2,9,RESOURCE_TAKEN,0,11,0
baseline,9999,0.0,3,0,PARTNER_RESCUED,1,2,0
baseline,9999,0.0,3,1,TIMEOUT,0,3,2
baseline,9999,0.0,3,2,TIMEOUT,0,4,1
baseline,9999,0.0,3,3,RESOURCE_TAKEN,0,5,0
baseline,9999,0.0,3,4,PARTNER_RESCUED,1,6,0
baseline,9999,0.0,3,5,TIMEOUT,0,7,2
baseline,9999,0.0,3,6,TIMEOUT,0,8,1
baseline,9999,0.0,3,7,TIMEOUT,0,9,0
baseline,9999,0.0,3,8,TIMEOUT,0,10,1
baseline,9999,0.0,3,9,TIMEOUT,0,11,0
baseline,9999,0.0,4,0,PARTNER_RESCUED,1,2,0
baseline,9999,0.0,4,1,PARTNER_RESCUED,1,3,0
baseline,9999,0.0,4,2,TIMEOUT,0,4,1
baseline,9999,0.0,4,3,TIMEOUT,0,5,2
baseline,9999,0.0,4,4,TIMEOUT,0,6,0
baseline,9999,0.0,4,5,TIMEOUT,0,7,2
baseline,9999,0.0,4,6,TIMEOUT,0,8,1
baseline,9999,0.0,4,7,TIMEOUT,0,9,2
baseline,9999,0.0,4,8,RESOURCE_TAKEN,0,10,0
baseline,9999,0.0,4,9,PARTNER_RESCUED,1,11,0
baseline,9999,0.0,5,0,PARTNER_RESCUED,1,2,0
baseline,9999,0.0,5,1,TIMEOUT,0,3,0
baseline,9999,0.0,5,2,TIMEOUT,0,4,0
baseline,9999,0.0,5,3,TIMEOUT,0,5,0
baseline,9999,0.0,5,4,TIMEOUT,0,6,3
baseline,9999,0.0,5,5,TIMEOUT,0,7,0
baseline,9999,0.0,5,6,TIMEOUT,0,8,1
baseline,9999,0.0,5,7,RESOURCE_TAKEN,0,9,0
baseline,9999,0.0,5,8,PARTNER_RESCUED,1,10,0
baseline,9999,0.0,5,9,TIMEOUT,0,11,1
baseline,9999,0.0,6,0,PARTNER_RESCUED,1,2,0
baseline,9999,0.0,6,1,TIMEOUT,0,3,0
baseline,9999,0.0,6,2,TIMEOUT,0,4,0
baseline,9999,0.0,6,3,TIMEOUT,0,5,2
baseline,9999,0.0,6,4,RESOURCE_TAKEN,0,6,0
baseline,9999,0.0,6,5,PARTNER_RESCUED,1,7,0
baseline,9999,0.0,6,6,PARTNER_RESCUED,1,8,0
baseline,9999,0.0,6,7,PARTNER_RESCUED,1,9,0
baseline,9999,0.0,6,8,PARTNER_RESCUED,1,10,0
baseline,9999,0.0,6,9,TIMEOUT,0,11,0
baseline,9999,0.0,7,0,PARTNER_RESCUED,1,2,0
baseline,9999,0.0,7,1,PARTNER_RESCUED,1,3,0
baseline,9999,0.0,7,2,PARTNER_RESCUED,1,4,0
baseline,9999,0.0,7,3,TIMEOUT,0,5,2
baseline,9999,0.0,7,4,TIMEOUT,0,6,2
