t_snap,kappa,outcome,steps_used,target_switches
8,0.0,TIMEOUT,8,0
8,0.0,RESOURCE_TAKEN,7,0
8,0.0,TIMEOUT,8,0
8,0.0,RESOURCE_TAKEN,6,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,1
8,0.0,RESOURCE_TAKEN,7,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,1
8,0.0,RESOURCE_TAKEN,6,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,RESOURCE_TAKEN,8,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,RESOURCE_TAKEN,7,0
8,0.0,RESOURCE_TAKEN,8,0
8,0.0,TIMEOUT,8,0
8,0.0,RESOURCE_TAKEN,6,0
8,0.0,TIMEOUT,8,1
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,1
8,0.0,TIMEOUT,8,1
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,RESOURCE_TAKEN,6,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,1
8,0.0,TIMEOUT,8,2
8,0.0,RESOURCE_TAKEN,7,0
8,0.0,TIMEOUT,8,0
8,0.0,RESOURCE_TAKEN,6,0
8,0.0,TIMEOUT,8,0
8,0.0,RESOURCE_TAKEN,6,0
8,0.0,TIMEOUT,8,0
8,0.0,RESOURCE_TAKEN,7,0
8,0.0,TIMEOUT,8,1
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,1
8,0.0,TIMEOUT,8,0
8,0.0,RESOURCE_TAKEN,7,0
8,0.0,TIMEOUT,8,1
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,RESOURCE_TAKEN,7,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,RESOURCE_TAKEN,8,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,1
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,RESOURCE_TAKEN,8,0
8,0.0,TIMEOUT,8,0
8,0.0,RESOURCE_TAKEN,6,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,RESOURCE_TAKEN,7,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,RESOURCE_TAKEN,7,0
8,0.0,TIMEOUT,8,1
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,1
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,RESOURCE_TAKEN,7,0
8,0.0,RESOURCE_TAKEN,8,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,RESOURCE_TAKEN,8,1
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,RESOURCE_TAKEN,8,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,1
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,1
8,0.0,TIMEOUT,8,0
8,0.0,RESOURCE_TAKEN,6,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,RESOURCE_TAKEN,7,0
8,0.0,TIMEOUT,8,0
8,0.0,RESOURCE_TAKEN,6,0
8,0.0,RESOURCE_TAKEN,8,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,RESOURCE_TAKEN,8,1
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,RESOURCE_TAKEN,7,0
8,0.0,RESOURCE_TAKEN,6,0
8,0.0,TIMEOUT,8,0
8,0.0,RESOURCE_TAKEN,6,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,RESOURCE_TAKEN,8,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,RESOURCE_TAKEN,8,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,RESOURCE_TAKEN,6,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,RESOURCE_TAKEN,8,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,RESOURCE_TAKEN,8,0
8,0.0,TIMEOUT,8,0
8,0.0,RESOURCE_TAKEN,8,0
8,0.0,RESOURCE_TAKEN,6,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,RESOURCE_TAKEN,8,0
8,0.0,RESOURCE_TAKEN,8,0
8,0.0,RESOURCE_TAKEN,8,0
8,0.0,TIMEOUT,8,2
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,RESOURCE_TAKEN,6,0
8,0.0,TIMEOUT,8,0
8,0.0,RESOURCE_TAKEN,8,0
8,0.0,TIMEOUT,8,0
8,0.0,RESOURCE_TAKEN,7,0
8,0.0,TIMEOUT,8,0
8,0.0,RESOURCE_TAKEN,7,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,RESOURCE_TAKEN,8,0
8,0.0,TIMEOUT,8,0
8,0.0,RESOURCE_TAKEN,8,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,RESOURCE_TAKEN,8,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,RESOURCE_TAKEN,7,0
8,0.0,TIMEOUT,8,0
8,0.0,RESOURCE_TAKEN,8,0
8,0.0,RESOURCE_TAKEN,8,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,1
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,TIMEOUT,8,0
8,0.0,RESOURCE_TAKEN,6,0
8,0.0,RESOURCE_TAKEN,8,0
8,0.0,RESOURCE_TAKEN,8,0
8,0.0,TIMEOUT,8,0
8,0.0,RESOURCE_TAKEN,6,0
8,0.0,TIMEOUT,8,2
8,0.025,RESOURCE_TAKEN,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,1
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,2
8,0.025,TIMEOUT,8,1
8,0.025,RESOURCE_TAKEN,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,RESOURCE_TAKEN,8,0
8,0.025,TIMEOUT,8,1
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,RESOURCE_TAKEN,6,0
8,0.025,TIMEOUT,8,1
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,RESOURCE_TAKEN,6,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,1
8,0.025,TIMEOUT,8,1
8,0.025,TIMEOUT,8,1
8,0.025,RESOURCE_TAKEN,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,RESOURCE_TAKEN,6,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,RESOURCE_TAKEN,6,0
8,0.025,TIMEOUT,8,1
8,0.025,TIMEOUT,8,0
8,0.025,RESOURCE_TAKEN,6,0
8,0.025,TIMEOUT,8,1
8,0.025,RESOURCE_TAKEN,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,RESOURCE_TAKEN,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,1
8,0.025,TIMEOUT,8,0
8,0.025,RESOURCE_TAKEN,7,0
8,0.025,TIMEOUT,8,0
8,0.025,RESOURCE_TAKEN,7,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,1
8,0.025,RESOURCE_TAKEN,6,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,RESOURCE_TAKEN,8,0
8,0.025,TIMEOUT,8,1
8,0.025,RESOURCE_TAKEN,8,0
8,0.025,TIMEOUT,8,0
8,0.025,RESOURCE_TAKEN,6,0
8,0.025,TIMEOUT,8,1
8,0.025,RESOURCE_TAKEN,6,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,1
8,0.025,TIMEOUT,8,1
8,0.025,RESOURCE_TAKEN,7,0
8,0.025,TIMEOUT,8,1
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,1
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,1
8,0.025,TIMEOUT,8,0
8,0.025,RESOURCE_TAKEN,8,0
8,0.025,RESOURCE_TAKEN,6,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,RESOURCE_TAKEN,8,0
8,0.025,TIMEOUT,8,0
8,0.025,RESOURCE_TAKEN,8,0
8,0.025,TIMEOUT,8,0
8,0.025,RESOURCE_TAKEN,7,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,RESOURCE_TAKEN,6,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,1
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,2
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,1
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,2
8,0.025,RESOURCE_TAKEN,8,0
8,0.025,TIMEOUT,8,1
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,1
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,1
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,1
8,0.025,RESOURCE_TAKEN,7,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,RESOURCE_TAKEN,6,0
8,0.025,TIMEOUT,8,1
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,1
8,0.025,TIMEOUT,8,1
8,0.025,TIMEOUT,8,2
8,0.025,TIMEOUT,8,1
8,0.025,TIMEOUT,8,1
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,1
8,0.025,TIMEOUT,8,1
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,1
8,0.025,TIMEOUT,8,1
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,1
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,RESOURCE_TAKEN,6,0
8,0.025,RESOURCE_TAKEN,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,1
8,0.025,TIMEOUT,8,1
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,1
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,1
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,RESOURCE_TAKEN,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,1
8,0.025,TIMEOUT,8,0
8,0.025,RESOURCE_TAKEN,7,0
8,0.025,RESOURCE_TAKEN,7,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,1
8,0.025,RESOURCE_TAKEN,8,0
8,0.025,TIMEOUT,8,1
8,0.025,TIMEOUT,8,1
8,0.025,TIMEOUT,8,1
8,0.025,TIMEOUT,8,0
8,0.025,TIMEOUT,8,1
8,0.025,TIMEOUT,8,1
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,1
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,1
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,1
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,1
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,2
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,1
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,1
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,1
8,0.05,TIMEOUT,8,0
8,0.05,RESOURCE_TAKEN,7,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,RESOURCE_TAKEN,8,0
8,0.05,RESOURCE_TAKEN,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,1
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,1
8,0.05,RESOURCE_TAKEN,7,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,1
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,RESOURCE_TAKEN,8,0
8,0.05,TIMEOUT,8,1
8,0.05,TIMEOUT,8,1
8,0.05,TIMEOUT,8,2
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,1
8,0.05,TIMEOUT,8,0
8,0.05,RESOURCE_TAKEN,6,0
8,0.05,TIMEOUT,8,0
8,0.05,RESOURCE_TAKEN,7,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,1
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,1
8,0.05,TIMEOUT,8,1
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,2
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,RESOURCE_TAKEN,7,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,1
8,0.05,TIMEOUT,8,1
8,0.05,RESOURCE_TAKEN,7,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,1
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,1
8,0.05,RESOURCE_TAKEN,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,RESOURCE_TAKEN,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,RESOURCE_TAKEN,6,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,1
8,0.05,TIMEOUT,8,1
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,1
8,0.05,TIMEOUT,8,1
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,1
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,1
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,1
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,RESOURCE_TAKEN,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,1
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,1
8,0.05,TIMEOUT,8,1
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,2
8,0.05,RESOURCE_TAKEN,6,0
8,0.05,RESOURCE_TAKEN,6,0
8,0.05,TIMEOUT,8,1
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,1
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
8,0.05,TIMEOUT,8,0
