seed_group,agent_id,episode_idx,outcome,rescued
0,0,0,PARTNER_RESCUED,1
0,0,1,PARTNER_RESCUED,1
0,0,2,PARTNER_RESCUED,1
0,0,3,PARTNER_RESCUED,1
0,0,4,PARTNER_RESCUED,1
0,0,5,TIMEOUT,0
0,0,6,PARTNER_RESCUED,1
0,0,7,TIMEOUT,0
0,0,8,PARTNER_RESCUED,1
0,0,9,PARTNER_RESCUED,1
0,1,0,PARTNER_RESCUED,1
0,1,1,PARTNER_RESCUED,1
0,1,2,PARTNER_RESCUED,1
0,1,3,PARTNER_RESCUED,1
0,1,4,PARTNER_RESCUED,1
0,1,5,PARTNER_RESCUED,1
0,1,6,PARTNER_RESCUED,1
0,1,7,PARTNER_RESCUED,1
0,1,8,PARTNER_RESCUED,1
0,1,9,PARTNER_RESCUED,1
0,2,0,PARTNER_RESCUED,1
0,2,1,PARTNER_RESCUED,1
0,2,2,PARTNER_RESCUED,1
0,2,3,PARTNER_RESCUED,1
0,2,4,PARTNER_RESCUED,1
0,2,5,PARTNER_RESCUED,1
0,2,6,PARTNER_RESCUED,1
0,2,7,PARTNER_RESCUED,1
0,2,8,TIMEOUT,0
0,2,9,PARTNER_RESCUED,1
0,3,0,PARTNER_RESCUED,1
0,3,1,PARTNER_RESCUED,1
0,3,2,TIMEOUT,0
0,3,3,PARTNER_RESCUED,1
0,3,4,PARTNER_RESCUED,1
0,3,5,PARTNER_RESCUED,1
0,3,6,TIMEOUT,0
0,3,7,PARTNER_RESCUED,1
0,3,8,PARTNER_RESCUED,1
0,3,9,PARTNER_RESCUED,1
0,4,0,PARTNER_RESCUED,1
0,4,1,PARTNER_RESCUED,1
0,4,2,TIMEOUT,0
0,4,3,TIMEOUT,0
0,4,4,PARTNER_RESCUED,1
0,4,5,PARTNER_RESCUED,1
0,4,6,PARTNER_RESCUED,1
0,4,7,PARTNER_RESCUED,1
0,4,8,PARTNER_RESCUED,1
0,4,9,PARTNER_RESCUED,1
0,5,0,PARTNER_RESCUED,1
0,5,1,TIMEOUT,0
0,5,2,PARTNER_RESCUED,1
0,5,3,PARTNER_RESCUED,1
0,5,4,PARTNER_RESCUED,1
0,5,5,PARTNER_RESCUED,1
0,5,6,PARTNER_RESCUED,1
0,5,7,PARTNER_RESCUED,1
0,5,8,PARTNER_RESCUED,1
0,5,9,PARTNER_RESCUED,1
0,6,0,PARTNER_RESCUED,1
0,6,1,TIMEOUT,0
0,6,2,PARTNER_RESCUED,1
0,6,3,PARTNER_RESCUED,1
0,6,4,TIMEOUT,0
0,6,5,PARTNER_RESCUED,1
0,6,6,PARTNER_RESCUED,1
0,6,7,TIMEOUT,0
0,6,8,RESOURCE_TAKEN,0
0,6,9,PARTNER_RESCUED,1
0,7,0,PARTNER_RESCUED,1
0,7,1,TIMEOUT,0
0,7,2,PARTNER_RESCUED,1
0,7,3,PARTNER_RESCUED,1
0,7,4,PARTNER_RESCUED,1
0,7,5,PARTNER_RESCUED,1
0,7,6,PARTNER_RESCUED,1
0,7,7,PARTNER_RESCUED,1
0,7,8,PARTNER_RESCUED,1
0,7,9,PARTNER_RESCUED,1
0,8,0,PARTNER_RESCUED,1
0,8,1,PARTNER_RESCUED,1
0,8,2,TIMEOUT,0
0,8,3,PARTNER_RESCUED,1
0,8,4,PARTNER_RESCUED,1
0,8,5,PARTNER_RESCUED,1
0,8,6,PARTNER_RESCUED,1
0,8,7,PARTNER_RESCUED,1
0,8,8,PARTNER_RESCUED,1
0,8,9,PARTNER_RESCUED,1
0,9,0,PARTNER_RESCUED,1
0,9,1,PARTNER_RESCUED,1
0,9,2,PARTNER_RESCUED,1
0,9,3,TIMEOUT,0
0,9,4,TIMEOUT,0
0,9,5,PARTNER_RESCUED,1
0,9,6,PARTNER_RESCUED,1
0,9,7,PARTNER_RESCUED,1
0,9,8,PARTNER_RESCUED,1
0,9,9,TIMEOUT,0
0,10,0,PARTNER_RESCUED,1
0,10,1,PARTNER_RESCUED,1
0,10,2,PARTNER_RESCUED,1
