kappa,condition,epsilon,sigma,agent_id,episode_idx,outcome,rescued
0.25,baseline,0.0,0.0,0,0,TIMEOUT,0
0.25,baseline,0.0,0.0,0,1,TIMEOUT,0
0.25,baseline,0.0,0.0,0,2,RESOURCE_TAKEN,0
0.25,baseline,0.0,0.0,0,3,TIMEOUT,0
0.25,baseline,0.0,0.0,0,4,TIMEOUT,0
0.25,baseline,0.0,0.0,1,0,TIMEOUT,0
0.25,baseline,0.0,0.0,1,1,TIMEOUT,0
0.25,baseline,0.0,0.0,1,2,RESOURCE_TAKEN,0
0.25,baseline,0.0,0.0,1,3,TIMEOUT,0
0.25,baseline,0.0,0.0,1,4,TIMEOUT,0
0.25,baseline,0.0,0.0,2,0,TIMEOUT,0
0.25,baseline,0.0,0.0,2,1,TIMEOUT,0
0.25,baseline,0.0,0.0,2,2,TIMEOUT,0
0.25,baseline,0.0,0.0,2,3,RESOURCE_TAKEN,0
0.25,baseline,0.0,0.0,2,4,TIMEOUT,0
0.25,baseline,0.0,0.0,3,0,TIMEOUT,0
0.25,baseline,0.0,0.0,3,1,RESOURCE_TAKEN,0
0.25,baseline,0.0,0.0,3,2,TIMEOUT,0
0.25,baseline,0.0,0.0,3,3,TIMEOUT,0
0.25,baseline,0.0,0.0,3,4,RESOURCE_TAKEN,0
0.25,baseline,0.0,0.0,4,0,TIMEOUT,0
0.25,baseline,0.0,0.0,4,1,RESOURCE_TAKEN,0
0.25,baseline,0.0,0.0,4,2,TIMEOUT,0
0.25,baseline,0.0,0.0,4,3,TIMEOUT,0
0.25,baseline,0.0,0.0,4,4,TIMEOUT,0
0.25,baseline,0.0,0.0,5,0,TIMEOUT,0
0.25,baseline,0.0,0.0,5,1,RESOURCE_TAKEN,0
0.25,baseline,0.0,0.0,5,2,TIMEOUT,0
0.25,baseline,0.0,0.0,5,3,TIMEOUT,0
0.25,baseline,0.0,0.0,5,4,RESOURCE_TAKEN,0
0.25,baseline,0.0,0.0,6,0,TIMEOUT,0
0.25,baseline,0.0,0.0,6,1,RESOURCE_TAKEN,0
0.25,baseline,0.0,0.0,6,2,TIMEOUT,0
0.25,baseline,0.0,0.0,6,3,TIMEOUT,0
0.25,baseline,0.0,0.0,6,4,TIMEOUT,0
0.25,baseline,0.0,0.0,7,0,TIMEOUT,0
0.25,baseline,0.0,0.0,7,1,RESOURCE_TAKEN,0
0.25,baseline,0.0,0.0,7,2,TIMEOUT,0
0.25,baseline,0.0,0.0,7,3,TIMEOUT,0
0.25,baseline,0.0,0.0,7,4,TIMEOUT,0
0.25,baseline,0.0,0.0,8,0,TIMEOUT,0
0.25,baseline,0.0,0.0,8,1,TIMEOUT,0
0.25,baseline,0.0,0.0,8,2,TIMEOUT,0
0.25,baseline,0.0,0.0,8,3,TIMEOUT,0
0.25,baseline,0.0,0.0,8,4,TIMEOUT,0
0.25,baseline,0.0,0.0,9,0,TIMEOUT,0
0.25,baseline,0.0,0.0,9,1,TIMEOUT,0
0.25,baseline,0.0,0.0,9,2,TIMEOUT,0
0.25,baseline,0.0,0.0,9,3,RESOURCE_TAKEN,0
0.25,baseline,0.0,0.0,9,4,TIMEOUT,0
0.25,baseline,0.0,0.0,10,0,TIMEOUT,0
0.25,baseline,0.0,0.0,10,1,TIMEOUT,0
0.25,baseline,0.0,0.0,10,2,RESOURCE_TAKEN,0
0.25,baseline,0.0,0.0,10,3,TIMEOUT,0
0.25,baseline,0.0,0.0,10,4,RESOURCE_TAKEN,0
0.25,baseline,0.0,0.0,11,0,TIMEOUT,0
0.25,baseline,0.0,0.0,11,1,TIMEOUT,0
0.25,baseline,0.0,0.0,11,2,RESOURCE_TAKEN,0
0.25,baseline,0.0,0.0,11,3,TIMEOUT,0
0.25,baseline,0.0,0.0,11,4,TIMEOUT,0
0.25,baseline,0.0,0.0,12,0,TIMEOUT,0
0.25,baseline,0.0,0.0,12,1,TIMEOUT,0
0.25,baseline,0.0,0.0,12,2,RESOURCE_TAKEN,0
0.25,baseline,0.0,0.0,12,3,TIMEOUT,0
0.25,baseline,0.0,0.0,12,4,RESOURCE_TAKEN,0
0.25,baseline,0.0,0.0,13,0,TIMEOUT,0
0.25,baseline,0.0,0.0,13,1,TIMEOUT,0
0.25,baseline,0.0,0.0,13,2,TIMEOUT,0
