t_snap,kappa,rescue,resource,timeout,partner_dead,failure,hesitation
8,0.0,0.0,0.225,0.775,0.0,0.775,0.17
8,0.25,0.0,0.1,0.9,0.0,0.9,0.245
8,0.5,0.0,0.015,0.985,0.0,0.985,0.325
8,1.0,0.03,0.0,0.97,0.0,0.97,0.505
8,2.0,0.2,0.0,0.785,0.015,0.8,0.53
12,0.0,0.0,0.57,0.43,0.0,0.43,0.185
12,0.25,0.0,0.405,0.595,0.0,0.595,0.22
12,0.5,0.0,0.195,0.805,0.0,0.805,0.33
12,1.0,0.0,0.015,0.98,0.005,0.985,0.67
12,2.0,0.235,0.0,0.74,0.025,0.765,0.45
20,0.0,0.0,0.9,0.1,0.0,0.1,0.195
20,0.25,0.0,0.835,0.165,0.0,0.165,0.295
20,0.5,0.0,0.735,0.265,0.0,0.265,0.495
20,1.0,0.015,0.465,0.515,0.005,0.52,0.78
20,2.0,0.19,0.23,0.565,0.015,0.58,0.8
