inject_mode,beta_guilt,beta_loyalty,kappa,agent_id,episode_idx,outcome,rescued,n_memories,target_switches
off,0.05,0.05,1.0,0,0,TIMEOUT,0,2,1
off,0.05,0.05,1.0,0,1,TIMEOUT,0,3,1
off,0.05,0.05,1.0,0,2,PARTNER_RESCUED,1,4,0
off,0.05,0.05,1.0,0,3,TIMEOUT,0,5,0
off,0.05,0.05,1.0,0,4,TIMEOUT,0,6,0
off,0.05,0.05,1.0,0,5,PARTNER_RESCUED,1,7,0
off,0.05,0.05,1.0,0,6,PARTNER_RESCUED,1,8,0
off,0.05,0.05,1.0,0,7,PARTNER_RESCUED,1,9,0
off,0.05,0.05,1.0,0,8,TIMEOUT,0,10,2
off,0.05,0.05,1.0,0,9,PARTNER_RESCUED,1,11,0
off,0.05,0.05,1.0,1,0,TIMEOUT,0,2,1
off,0.05,0.05,1.0,1,1,PARTNER_RESCUED,1,3,0
off,0.05,0.05,1.0,1,2,TIMEOUT,0,4,1
off,0.05,0.05,1.0,1,3,TIMEOUT,0,5,1
off,0.05,0.05,1.0,1,4,TIMEOUT,0,6,0
off,0.05,0.05,1.0,1,5,PARTNER_RESCUED,1,7,0
off,0.05,0.05,1.0,1,6,PARTNER_RESCUED,1,8,0
off,0.05,0.05,1.0,1,7,TIMEOUT,0,9,1
off,0.05,0.05,1.0,1,8,PARTNER_RESCUED,1,10,0
off,0.05,0.05,1.0,1,9,PARTNER_RESCUED,1,11,0
off,0.05,0.05,1.0,2,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,2,1,PARTNER_RESCUED,1,3,0
off,0.05,0.05,1.0,2,2,TIMEOUT,0,4,2
off,0.05,0.05,1.0,2,3,TIMEOUT,0,5,1
off,0.05,0.05,1.0,2,4,TIMEOUT,0,6,1
off,0.05,0.05,1.0,2,5,TIMEOUT,0,7,1
off,0.05,0.05,1.0,2,6,TIMEOUT,0,8,0
off,0.05,0.05,1.0,2,7,TIMEOUT,0,9,0
off,0.05,0.05,1.0,2,8,TIMEOUT,0,10,0
off,0.05,0.05,1.0,2,9,PARTNER_RESCUED,1,11,0
off,0.05,0.05,1.0,3,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,3,1,TIMEOUT,0,3,1
off,0.05,0.05,1.0,3,2,PARTNER_RESCUED,1,4,0
off,0.05,0.05,1.0,3,3,PARTNER_RESCUED,1,5,0
off,0.05,0.05,1.0,3,4,PARTNER_RESCUED,1,6,0
off,0.05,0.05,1.0,3,5,TIMEOUT,0,7,1
off,0.05,0.05,1.0,3,6,TIMEOUT,0,8,0
off,0.05,0.05,1.0,3,7,TIMEOUT,0,9,1
off,0.05,0.05,1.0,3,8,TIMEOUT,0,10,0
off,0.05,0.05,1.0,3,9,TIMEOUT,0,11,1
off,0.05,0.05,1.0,4,0,TIMEOUT,0,2,1
off,0.05,0.05,1.0,4,1,TIMEOUT,0,3,1
off,0.05,0.05,1.0,4,2,TIMEOUT,0,4,0
off,0.05,0.05,1.0,4,3,TIMEOUT,0,5,1
off,0.05,0.05,1.0,4,4,PARTNER_RESCUED,1,6,0
off,0.05,0.05,1.0,4,5,TIMEOUT,0,7,0
off,0.05,0.05,1.0,4,6,PARTNER_RESCUED,1,8,0
off,0.05,0.05,1.0,4,7,PARTNER_RESCUED,1,9,0
off,0.05,0.05,1.0,4,8,PARTNER_RESCUED,1,10,0
off,0.05,0.05,1.0,4,9,TIMEOUT,0,11,0
off,0.05,0.05,1.0,5,0,PARTNER_DEAD,0,2,1
off,0.05,0.05,1.0,5,1,PARTNER_RESCUED,1,3,0
off,0.05,0.05,1.0,5,2,TIMEOUT,0,4,1
off,0.05,0.05,1.0,5,3,TIMEOUT,0,5,0
off,0.05,0.05,1.0,5,4,TIMEOUT,0,6,1
off,0.05,0.05,1.0,5,5,TIMEOUT,0,7,0
off,0.05,0.05,1.0,5,6,TIMEOUT,0,8,0
off,0.05,0.05,1.0,5,7,PARTNER_RESCUED,1,9,0
off,0.05,0.05,1.0,5,8,PARTNER_RESCUED,1,10,0
off,0.05,0.05,1.0,5,9,TIMEOUT,0,11,0
off,0.05,0.05,1.0,6,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,6,1,PARTNER_RESCUED,1,3,0
off,0.05,0.05,1.0,6,2,TIMEOUT,0,4,1
off,0.05,0.05,1.0,6,3,TIMEOUT,0,5,0
off,0.05,0.05,1.0,6,4,TIMEOUT,0,6,2
off,0.05,0.05,1.0,6,5,TIMEOUT,0,7,0
off,0.05,0.05,1.0,6,6,TIMEOUT,0,8,0
off,0.05,0.05,1.0,6,7,PARTNER_RESCUED,1,9,0
off,0.05,0.05,1.0,6,8,PARTNER_RESCUED,1,10,0
off,0.05,0.05,1.0,6,9,PARTNER_RESCUED,1,11,0
off,0.05,0.05,1.0,7,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,7,1,TIMEOUT,0,3,2
off,0.05,0.05,1.0,7,2,PARTNER_RESCUED,1,4,0
off,0.05,0.05,1.0,7,3,PARTNER_RESCUED,1,5,0
