tau,agent_id,episode_idx,outcome,steps_used,target_switches,n_memories,e_max,was_encoded
0.0,0,0,PARTNER_RESCUED,6,0,2,1.0,1
0.0,0,1,TIMEOUT,12,2,3,1.0,1
0.0,0,2,TIMEOUT,12,1,4,0.6777,1
0.0,0,3,TIMEOUT,12,2,5,0.5087,1
0.0,0,4,TIMEOUT,12,1,6,0.4717,1
0.0,0,5,TIMEOUT,12,2,7,0.4717,1
0.0,0,6,TIMEOUT,12,0,8,0.4717,1
0.0,0,7,TIMEOUT,12,2,9,0.4717,1
0.0,0,8,TIMEOUT,12,1,10,0.4717,1
0.0,0,9,TIMEOUT,12,0,11,0.4717,1
0.0,1,0,PARTNER_RESCUED,7,0,2,1.0,1
0.0,1,1,TIMEOUT,12,0,3,1.0,1
0.0,1,2,TIMEOUT,12,1,4,0.6461,1
0.0,1,3,TIMEOUT,12,1,5,0.4835,1
0.0,1,4,TIMEOUT,12,0,6,0.4717,1
0.0,1,5,TIMEOUT,12,0,7,0.4717,1
0.0,1,6,TIMEOUT,12,0,8,0.4717,1
0.0,1,7,TIMEOUT,12,0,9,0.4717,1
0.0,1,8,TIMEOUT,12,0,10,0.4717,1
0.0,1,9,TIMEOUT,12,1,11,0.4717,1
0.0,2,0,PARTNER_RESCUED,6,0,2,1.0,1
0.0,2,1,PARTNER_DEAD,9,0,3,0.86,1
0.0,2,2,PARTNER_RESCUED,6,0,4,1.0,1
0.0,2,3,PARTNER_RESCUED,7,0,5,0.7,1
0.0,2,4,PARTNER_RESCUED,7,0,6,0.7,1
0.0,2,5,PARTNER_RESCUED,6,0,7,0.62,1
0.0,2,6,TIMEOUT,12,1,8,1.0,1
0.0,2,7,TIMEOUT,12,0,9,0.6411,1
0.0,2,8,RESOURCE_TAKEN,11,0,10,0.4328,1
0.0,2,9,PARTNER_RESCUED,6,0,11,1.0,1
0.0,3,0,PARTNER_RESCUED,7,0,2,1.0,1
0.0,3,1,TIMEOUT,12,1,3,1.0,1
0.0,3,2,TIMEOUT,12,0,4,0.6455,1
0.0,3,3,TIMEOUT,12,0,5,0.497,1
0.0,3,4,TIMEOUT,12,2,6,0.4717,1
0.0,3,5,RESOURCE_TAKEN,12,0,7,0.4717,1
0.0,3,6,PARTNER_RESCUED,7,0,8,1.0,1
0.0,3,7,PARTNER_RESCUED,7,0,9,0.7,1
0.0,3,8,TIMEOUT,12,1,10,1.0,1
0.0,3,9,TIMEOUT,12,0,11,0.8363,1
0.0,4,0,TIMEOUT,12,1,2,1.0,1
0.0,4,1,TIMEOUT,12,0,3,0.8296,1
0.0,4,2,TIMEOUT,12,2,4,0.5808,1
0.0,4,3,TIMEOUT,12,1,5,0.4717,1
0.0,4,4,TIMEOUT,12,0,6,0.4717,1
0.0,4,5,RESOURCE_TAKEN,11,0,7,0.39,1
0.0,4,6,TIMEOUT,12,1,8,1.0,1
0.0,4,7,TIMEOUT,12,2,9,1.0,1
0.0,4,8,TIMEOUT,12,1,10,0.9258,1
0.0,4,9,TIMEOUT,12,0,11,0.6099,1
0.0,5,0,PARTNER_RESCUED,7,0,2,1.0,1
0.0,5,1,PARTNER_RESCUED,7,0,3,0.7,1
0.0,5,2,TIMEOUT,12,0,4,1.0,1
0.0,5,3,TIMEOUT,12,2,5,0.5518,1
0.0,5,4,TIMEOUT,12,1,6,0.4717,1
0.0,5,5,TIMEOUT,12,0,7,0.4717,1
0.0,5,6,TIMEOUT,12,1,8,0.4717,1
0.0,5,7,TIMEOUT,12,0,9,0.4717,1
0.0,5,8,TIMEOUT,12,1,10,0.4717,1
0.0,5,9,TIMEOUT,12,1,11,0.4717,1
0.0,6,0,PARTNER_RESCUED,7,0,2,1.0,1
0.0,6,1,TIMEOUT,12,0,3,1.0,1
0.0,6,2,TIMEOUT,12,1,4,0.653,1
0.0,6,3,TIMEOUT,12,1,5,0.4871,1
0.0,6,4,TIMEOUT,12,2,6,0.4717,1
0.0,6,5,TIMEOUT,12,1,7,0.4717,1
0.0,6,6,TIMEOUT,12,1,8,0.4717,1
0.0,6,7,TIMEOUT,12,2,9,0.4717,1
0.0,6,8,TIMEOUT,12,2,10,0.4717,1
0.0,6,9,TIMEOUT,12,0,11,0.4717,1
0.0,7,0,PARTNER_RESCUED,7,0,2,1.0,1
0.0,7,1,TIMEOUT,12,2,3,1.0,1
0.0,7,2,TIMEOUT,12,1,4,0.6543,1
0.0,7,3,TIMEOUT,12,2,5,0.4973,1
0.0,7,4,TIMEOUT,12,2,6,0.4717,1
0.0,7,5,TIMEOUT,12,1,7,0.4717,1
0.0,7,6,TIMEOUT,12,0,8,0.4717,1
0.0,7,7,TIMEOUT,12,0,9,0.4717,1
0.0,7,8,TIMEOUT,12,2,10,0.4717,1
0.0,7,9,TIMEOUT,12,0,11,0.4717,1
0.0,8,0,TIMEOUT,12,1,2,1.0,1
0.0,8,1,TIMEOUT,12,0,3,0.8183,1
0.0,8,2,TIMEOUT,12,0,4,0.5809,1
0.0,8,3,TIMEOUT,12,2,5,0.4717,1
0.0,8,4,TIMEOUT,12,2,6,0.4717,1
0.0,8,5,TIMEOUT,12,2,7,0.4717,1
0.0,8,6,TIMEOUT,12,3,8,0.4717,1
0.0,8,7,RESOURCE_TAKEN,11,0,9,0.39,1
0.0,8,8,PARTNER_RESCUED,7,0,10,1.0,1
0.0,8,9,PARTNER_RESCUED,7,0,11,0.7,1
0.0,9,0,PARTNER_RESCUED,7,0,2,1.0,1
0.0,9,1,PARTNER_RESCUED,7,0,3,0.8,1
0.0,9,2,PARTNER_RESCUED,7,0,4,0.7,1
0.0,9,3,TIMEOUT,12,2,5,1.0,1
