cell,tau_guilt,tau_loyalty,agent_id,episode_idx,outcome,rescued,n_memories,e_max,was_encoded,target_switches
G0.3_L0.3,0.3,0.3,0,0,PARTNER_RESCUED,1,2,1.0,1,0
G0.3_L0.3,0.3,0.3,0,1,TIMEOUT,0,3,1.0,1,1
G0.3_L0.3,0.3,0.3,0,2,TIMEOUT,0,4,0.6728,1,1
G0.3_L0.3,0.3,0.3,0,3,TIMEOUT,0,5,0.4868,1,0
G0.3_L0.3,0.3,0.3,0,4,TIMEOUT,0,6,0.4717,1,0
G0.3_L0.3,0.3,0.3,0,5,TIMEOUT,0,7,0.4717,1,2
G0.3_L0.3,0.3,0.3,0,6,RESOURCE_TAKEN,0,8,0.4717,1,0
G0.3_L0.3,0.3,0.3,0,7,PARTNER_RESCUED,1,9,1.0,1,0
G0.3_L0.3,0.3,0.3,0,8,TIMEOUT,0,10,1.0,1,1
G0.3_L0.3,0.3,0.3,0,9,TIMEOUT,0,11,1.0,1,2
G0.3_L0.3,0.3,0.3,1,0,PARTNER_RESCUED,1,2,1.0,1,0
G0.3_L0.3,0.3,0.3,1,1,TIMEOUT,0,3,1.0,1,1
G0.3_L0.3,0.3,0.3,1,2,TIMEOUT,0,4,0.6524,1,0
G0.3_L0.3,0.3,0.3,1,3,TIMEOUT,0,5,0.5037,1,1
G0.3_L0.3,0.3,0.3,1,4,TIMEOUT,0,6,0.4717,1,0
G0.3_L0.3,0.3,0.3,1,5,TIMEOUT,0,7,0.4717,1,3
G0.3_L0.3,0.3,0.3,1,6,TIMEOUT,0,8,0.4717,1,0
G0.3_L0.3,0.3,0.3,1,7,RESOURCE_TAKEN,0,8,0.2517,0,0
G0.3_L0.3,0.3,0.3,1,8,TIMEOUT,0,9,0.4717,1,0
G0.3_L0.3,0.3,0.3,1,9,TIMEOUT,0,10,0.4717,1,2
G0.3_L0.3,0.3,0.3,2,0,PARTNER_RESCUED,1,2,1.0,1,0
G0.3_L0.3,0.3,0.3,2,1,TIMEOUT,0,3,1.0,1,0
G0.3_L0.3,0.3,0.3,2,2,RESOURCE_TAKEN,0,4,0.6929,1,0
G0.3_L0.3,0.3,0.3,2,3,TIMEOUT,0,5,1.0,1,1
G0.3_L0.3,0.3,0.3,2,4,TIMEOUT,0,6,1.0,1,1
G0.3_L0.3,0.3,0.3,2,5,PARTNER_RESCUED,1,7,0.5447,1,0
G0.3_L0.3,0.3,0.3,2,6,PARTNER_RESCUED,1,8,0.7,1,0
G0.3_L0.3,0.3,0.3,2,7,PARTNER_RESCUED,1,9,0.62,1,0
G0.3_L0.3,0.3,0.3,2,8,TIMEOUT,0,10,1.0,1,2
G0.3_L0.3,0.3,0.3,2,9,TIMEOUT,0,11,0.4717,1,0
G0.3_L0.3,0.3,0.3,3,0,PARTNER_RESCUED,1,2,1.0,1,0
G0.3_L0.3,0.3,0.3,3,1,TIMEOUT,0,3,1.0,1,1
G0.3_L0.3,0.3,0.3,3,2,TIMEOUT,0,4,0.6571,1,0
G0.3_L0.3,0.3,0.3,3,3,TIMEOUT,0,5,0.4921,1,0
G0.3_L0.3,0.3,0.3,3,4,TIMEOUT,0,6,0.4717,1,0
G0.3_L0.3,0.3,0.3,3,5,TIMEOUT,0,7,0.4717,1,2
G0.3_L0.3,0.3,0.3,3,6,TIMEOUT,0,8,0.4717,1,2
G0.3_L0.3,0.3,0.3,3,7,TIMEOUT,0,9,0.4717,1,1
G0.3_L0.3,0.3,0.3,3,8,RESOURCE_TAKEN,0,10,0.39,1,0
G0.3_L0.3,0.3,0.3,3,9,PARTNER_RESCUED,1,11,1.0,1,0
G0.3_L0.3,0.3,0.3,4,0,TIMEOUT,0,2,1.0,1,1
G0.3_L0.3,0.3,0.3,4,1,TIMEOUT,0,3,0.8347,1,1
G0.3_L0.3,0.3,0.3,4,2,TIMEOUT,0,4,0.5566,1,1
G0.3_L0.3,0.3,0.3,4,3,TIMEOUT,0,5,0.4717,1,0
G0.3_L0.3,0.3,0.3,4,4,TIMEOUT,0,6,0.4717,1,1
G0.3_L0.3,0.3,0.3,4,5,TIMEOUT,0,7,0.4717,1,0
G0.3_L0.3,0.3,0.3,4,6,TIMEOUT,0,8,0.4717,1,3
G0.3_L0.3,0.3,0.3,4,7,TIMEOUT,0,9,0.4717,1,2
G0.3_L0.3,0.3,0.3,4,8,TIMEOUT,0,10,0.4717,1,2
G0.3_L0.3,0.3,0.3,4,9,TIMEOUT,0,11,0.4717,1,1
G0.3_L0.3,0.3,0.3,5,0,PARTNER_RESCUED,1,2,1.0,1,0
G0.3_L0.3,0.3,0.3,5,1,TIMEOUT,0,3,1.0,1,0
G0.3_L0.3,0.3,0.3,5,2,TIMEOUT,0,4,0.6698,1,0
G0.3_L0.3,0.3,0.3,5,3,TIMEOUT,0,5,0.4839,1,1
G0.3_L0.3,0.3,0.3,5,4,TIMEOUT,0,6,0.4717,1,2
G0.3_L0.3,0.3,0.3,5,5,TIMEOUT,0,7,0.4717,1,0
G0.3_L0.3,0.3,0.3,5,6,TIMEOUT,0,8,0.4717,1,2
G0.3_L0.3,0.3,0.3,5,7,TIMEOUT,0,9,0.4717,1,1
G0.3_L0.3,0.3,0.3,5,8,TIMEOUT,0,10,0.4717,1,0
G0.3_L0.3,0.3,0.3,5,9,TIMEOUT,0,11,0.4717,1,2
G0.3_L0.3,0.3,0.3,6,0,PARTNER_RESCUED,1,2,1.0,1,0
G0.3_L0.3,0.3,0.3,6,1,TIMEOUT,0,3,1.0,1,1
G0.3_L0.3,0.3,0.3,6,2,TIMEOUT,0,4,0.7076,1,0
G0.3_L0.3,0.3,0.3,6,3,TIMEOUT,0,5,0.5031,1,3
G0.3_L0.3,0.3,0.3,6,4,TIMEOUT,0,6,0.4717,1,0
G0.3_L0.3,0.3,0.3,6,5,TIMEOUT,0,7,0.4717,1,2
G0.3_L0.3,0.3,0.3,6,6,TIMEOUT,0,8,0.4717,1,0
G0.3_L0.3,0.3,0.3,6,7,TIMEOUT,0,9,0.4717,1,2
G0.3_L0.3,0.3,0.3,6,8,TIMEOUT,0,10,0.4717,1,0
G0.3_L0.3,0.3,0.3,6,9,TIMEOUT,0,11,0.4717,1,2
G0.3_L0.3,0.3,0.3,7,0,PARTNER_RESCUED,1,2,1.0,1,0
G0.3_L0.3,0.3,0.3,7,1,TIMEOUT,0,3,1.0,1,0
G0.3_L0.3,0.3,0.3,7,2,TIMEOUT,0,4,0.678,1,2
G0.3_L0.3,0.3,0.3,7,3,TIMEOUT,0,5,0.5054,1,3
G0.3_L0.3,0.3,0.3,7,4,TIMEOUT,0,6,0.4717,1,1
G0.3_L0.3,0.3,0.3,7,5,RESOURCE_TAKEN,0,7,0.3167,1,1
G0.3_L0.3,0.3,0.3,7,6,PARTNER_RESCUED,1,8,1.0,1,0
G0.3_L0.3,0.3,0.3,7,7,PARTNER_RESCUED,1,9,0.7,1,0
G0.3_L0.3,0.3,0.3,7,8,PARTNER_RESCUED,1,10,0.7,1,0
G0.3_L0.3,0.3,0.3,7,9,PARTNER_RESCUED,1,11,0.7,1,0
G0.3_L0.3,0.3,0.3,8,0,PARTNER_RESCUED,1,2,1.0,1,0
G0.3_L0.3,0.3,0.3,8,1,TIMEOUT,0,3,1.0,1,2
G0.3_L0.3,0.3,0.3,8,2,TIMEOUT,0,4,0.6787,1,2
G0.3_L0.3,0.3,0.3,8,3,TIMEOUT,0,5,0.4953,1,0
G0.3_L0.3,0.3,0.3,8,4,PARTNER_DEAD,0,6,0.3004,1,0
G0.3_L0.3,0.3,0.3,8,5,PARTNER_RESCUED,1,7,1.0,1,0
G0.3_L0.3,0.3,0.3,8,6,TIMEOUT,0,8,1.0,1,1
G0.3_L0.3,0.3,0.3,8,7,TIMEOUT,0,9,1.0,1,2
G0.3_L0.3,0.3,0.3,8,8,TIMEOUT,0,10,0.8444,1,2
G0.3_L0.3,0.3,0.3,8,9,TIMEOUT,0,11,0.5939,1,1
G0.3_L0.3,0.3,0.3,9,0,PARTNER_RESCUED,1,2,1.0,1,0
G0.3_L0.3,0.3,0.3,9,1,TIMEOUT,0,3,1.0,1,0
G0.3_L0.3,0.3,0.3,9,2,PARTNER_RESCUED,1,4,0.3348,1,0
G0.3_L0.3,0.3,0.3,9,3,TIMEOUT,0,5,1.0,1,0
G0.3_L0.3,0.3,0.3,9,4,TIMEOUT,0,6,0.4717,1,2
G0.3_L0.3,0.3,0.3,9,5,TIMEOUT,0,7,0.4717,1,2
G0.3_L0.3,0.3,0.3,9,6,RESOURCE_TAKEN,0,8,0.39,1,0
G0.3_L0.3,0.3,0.3,9,7,PARTNER_RESCUED,1,9,1.0,1,0
G0.3_L0.3,0.3,0.3,9,8,TIMEOUT,0,10,1.0,1,0
G0.3_L0.3,0.3,0.3,9,9,TIMEOUT,0,11,1.0,1,1
G0.3_L0.3,0.3,0.3,10,0,PARTNER_RESCUED,1,2,1.0,1,0
G0.3_L0.3,0.3,0.3,10,1,TIMEOUT,0,3,1.0,1,1
G0.3_L0.3,0.3,0.3,10,2,TIMEOUT,0,4,0.658,1,1
G0.3_L0.3,0.3,0.3,10,3,TIMEOUT,0,5,0.488,1,1
G0.3_L0.3,0.3,0.3,10,4,TIMEOUT,0,6,0.4717,1,1
G0.3_L0.3,0.3,0.3,10,5,TIMEOUT,0,7,0.4717,1,0
G0.3_L0.3,0.3,0.3,10,6,TIMEOUT,0,8,0.4717,1,1
G0.3_L0.3,0.3,0.3,10,7,TIMEOUT,0,9,0.4717,1,2
G0.3_L0.3,0.3,0.3,10,8,TIMEOUT,0,10,0.4717,1,1
G0.3_L0.3,0.3,0.3,10,9,TIMEOUT,0,11,0.4717,1,1
G0.3_L0.3,0.3,0.3,11,0,PARTNER_RESCUED,1,2,1.0,1,0
G0.3_L0.3,0.3,0.3,11,1,PARTNER_RESCUED,1,3,0.7,1,0
G0.3_L0.3,0.3,0.3,11,2,TIMEOUT,0,4,1.0,1,1
G0.3_L0.3,0.3,0.3,11,3,TIMEOUT,0,5,0.5439,1,0
G0.3_L0.3,0.3,0.3,11,4,TIMEOUT,0,6,0.4717,1,0
G0.3_L0.3,0.3,0.3,11,5,TIMEOUT,0,7,0.4717,1,1
G0.3_L0.3,0.3,0.3,11,6,TIMEOUT,0,8,0.4717,1,1
G0.3_L0.3,0.3,0.3,11,7,RESOURCE_TAKEN,0,9,0.4717,1,0
G0.3_L0.3,0.3,0.3,11,8,TIMEOUT,0,10,1.0,1,1
G0.3_L0.3,0.3,0.3,11,9,PARTNER_RESCUED,1,11,0.7588,1,0
G0.3_L0.3,0.3,0.3,12,0,PARTNER_RESCUED,1,2,1.0,1,0
G0.3_L0.3,0.3,0.3,12,1,PARTNER_RESCUED,1,3,0.8,1,0
G0.3_L0.3,0.3,0.3,12,2,TIMEOUT,0,4,1.0,1,1
G0.3_L0.3,0.3,0.3,12,3,TIMEOUT,0,5,0.5439,1,0
G0.3_L0.3,0.3,0.3,12,4,TIMEOUT,0,6,0.4717,1,2
G0.3_L0.3,0.3,0.3,12,5,TIMEOUT,0,7,0.4717,1,2
G0.3_L0.3,0.3,0.3,12,6,TIMEOUT,0,8,0.4717,1,2
G0.3_L0.3,0.3,0.3,12,7,RESOURCE_TAKEN,0,9,0.4717,1,0
G0.3_L0.3,0.3,0.3,12,8,PARTNER_DEAD,0,10,1.0,1,0
G0.3_L0.3,0.3,0.3,12,9,PARTNER_RESCUED,1,11,1.0,1,0
G0.3_L0.3,0.3,0.3,13,0,PARTNER_RESCUED,1,2,1.0,1,0
G0.3_L0.3,0.3,0.3,13,1,TIMEOUT,0,3,1.0,1,2
G0.3_L0.3,0.3,0.3,13,2,TIMEOUT,0,4,0.658,1,2
G0.3_L0.3,0.3,0.3,13,3,TIMEOUT,0,5,0.4791,1,0
G0.3_L0.3,0.3,0.3,13,4,TIMEOUT,0,6,0.4717,1,0
G0.3_L0.3,0.3,0.3,13,5,TIMEOUT,0,7,0.4717,1,1
G0.3_L0.3,0.3,0.3,13,6,TIMEOUT,0,8,0.4717,1,0
G0.3_L0.3,0.3,0.3,13,7,TIMEOUT,0,9,0.4717,1,2
G0.3_L0.3,0.3,0.3,13,8,RESOURCE_TAKEN,0,10,0.39,1,0
G0.3_L0.3,0.3,0.3,13,9,TIMEOUT,0,11,1.0,1,0
G0.3_L0.3,0.3,0.3,14,0,PARTNER_RESCUED,1,2,1.0,1,0
G0.3_L0.3,0.3,0.3,14,1,TIMEOUT,0,3,1.0,1,0
G0.3_L0.3,0.3,0.3,14,2,TIMEOUT,0,4,0.6789,1,1
G0.3_L0.3,0.3,0.3,14,3,TIMEOUT,0,5,0.5162,1,0
G0.3_L0.3,0.3,0.3,14,4,TIMEOUT,0,6,0.4717,1,1
G0.3_L0.3,0.3,0.3,14,5,PARTNER_DEAD,0,7,0.385,1,0
G0.3_L0.3,0.3,0.3,14,6,PARTNER_RESCUED,1,8,1.0,1,0
G0.3_L0.3,0.3,0.3,14,7,PARTNER_RESCUED,1,9,0.7,1,0
G0.3_L0.3,0.3,0.3,14,8,TIMEOUT,0,10,1.0,1,1
G0.3_L0.3,0.3,0.3,14,9,PARTNER_RESCUED,1,11,0.6567,1,0
G0.3_L0.3,0.3,0.3,15,0,TIMEOUT,0,2,1.0,1,0
G0.3_L0.3,0.3,0.3,15,1,TIMEOUT,0,3,0.8452,1,2
G0.3_L0.3,0.3,0.3,15,2,TIMEOUT,0,4,0.5614,1,1
G0.3_L0.3,0.3,0.3,15,3,TIMEOUT,0,5,0.4717,1,2
G0.3_L0.3,0.3,0.3,15,4,TIMEOUT,0,6,0.4717,1,1
