condition,agent_id,episode_idx,outcome,rescued,n_memories,target_switches
off,0,0,TIMEOUT,0,2,1
off,0,1,TIMEOUT,0,3,1
off,0,2,RESOURCE_TAKEN,0,4,0
off,0,3,PARTNER_RESCUED,1,4,0
off,0,4,PARTNER_RESCUED,1,4,0
off,0,5,TIMEOUT,0,5,0
off,0,6,PARTNER_RESCUED,1,5,0
off,0,7,TIMEOUT,0,6,0
off,0,8,TIMEOUT,0,7,2
off,0,9,TIMEOUT,0,8,1
off,1,0,TIMEOUT,0,2,1
off,1,1,TIMEOUT,0,3,0
off,1,2,TIMEOUT,0,4,2
off,1,3,TIMEOUT,0,5,1
off,1,4,TIMEOUT,0,6,0
off,1,5,RESOURCE_TAKEN,0,7,0
off,1,6,PARTNER_RESCUED,1,7,0
off,1,7,PARTNER_RESCUED,1,7,0
off,1,8,PARTNER_RESCUED,1,7,0
off,1,9,TIMEOUT,0,8,1
off,2,0,PARTNER_RESCUED,1,1,0
off,2,1,PARTNER_RESCUED,1,1,0
off,2,2,TIMEOUT,0,2,1
off,2,3,TIMEOUT,0,3,0
off,2,4,TIMEOUT,0,4,0
off,2,5,TIMEOUT,0,5,1
off,2,6,TIMEOUT,0,6,3
off,2,7,TIMEOUT,0,7,0
off,2,8,TIMEOUT,0,8,0
off,2,9,TIMEOUT,0,9,2
off,3,0,PARTNER_RESCUED,1,1,0
off,3,1,PARTNER_RESCUED,1,1,0
off,3,2,PARTNER_RESCUED,1,1,0
off,3,3,PARTNER_RESCUED,1,1,0
off,3,4,RESOURCE_TAKEN,0,2,0
off,3,5,PARTNER_RESCUED,1,2,0
off,3,6,PARTNER_RESCUED,1,2,0
off,3,7,PARTNER_RESCUED,1,2,0
off,3,8,PARTNER_RESCUED,1,2,0
off,3,9,TIMEOUT,0,3,0
off,4,0,TIMEOUT,0,2,1
off,4,1,TIMEOUT,0,3,1
off,4,2,TIMEOUT,0,4,2
off,4,3,TIMEOUT,0,5,2
off,4,4,TIMEOUT,0,6,2
off,4,5,TIMEOUT,0,7,2
off,4,6,TIMEOUT,0,8,1
off,4,7,TIMEOUT,0,9,2
off,4,8,TIMEOUT,0,10,0
off,4,9,RESOURCE_TAKEN,0,11,0
off,5,0,PARTNER_DEAD,0,2,1
off,5,1,PARTNER_RESCUED,1,2,0
off,5,2,TIMEOUT,0,3,1
off,5,3,TIMEOUT,0,4,0
off,5,4,TIMEOUT,0,5,2
off,5,5,TIMEOUT,0,6,1
off,5,6,TIMEOUT,0,7,0
off,5,7,TIMEOUT,0,8,0
off,5,8,TIMEOUT,0,9,0
off,5,9,TIMEOUT,0,10,1
off,6,0,PARTNER_RESCUED,1,1,0
off,6,1,TIMEOUT,0,2,1
off,6,2,TIMEOUT,0,3,1
off,6,3,TIMEOUT,0,4,2
off,6,4,TIMEOUT,0,5,1
off,6,5,TIMEOUT,0,6,1
off,6,6,TIMEOUT,0,7,1
off,6,7,RESOURCE_TAKEN,0,8,0
off,6,8,PARTNER_RESCUED,1,8,0
off,6,9,TIMEOUT,0,9,1
off,7,0,PARTNER_RESCUED,1,1,0
off,7,1,PARTNER_RESCUED,1,1,0
off,7,2,TIMEOUT,0,2,1
off,7,3,PARTNER_RESCUED,1,2,0
off,7,4,TIMEOUT,0,3,2
off,7,5,TIMEOUT,0,4,0
off,7,6,TIMEOUT,0,5,1
off,7,7,RESOURCE_TAKEN,0,6,0
off,7,8,PARTNER_RESCUED,1,6,0
off,7,9,PARTNER_RESCUED,1,6,0
off,8,0,PARTNER_RESCUED,1,1,0
off,8,1,PARTNER_RESCUED,1,1,0
off,8,2,TIMEOUT,0,2,0
off,8,3,TIMEOUT,0,3,2
off,8,4,RESOURCE_TAKEN,0,4,0
off,8,5,TIMEOUT,0,5,1
off,8,6,TIMEOUT,0,6,1
off,8,7,TIMEOUT,0,7,1
off,8,8,TIMEOUT,0,8,3
off,8,9,TIMEOUT,0,9,0
off,9,0,PARTNER_RESCUED,1,1,0
off,9,1,PARTNER_RESCUED,1,1,0
off,9,2,PARTNER_RESCUED,1,1,0
off,9,3,TIMEOUT,0,2,2
off,9,4,TIMEOUT,0,3,1
off,9,5,TIMEOUT,0,4,1
off,9,6,TIMEOUT,0,5,2
off,9,7,TIMEOUT,0,6,0
off,9,8,TIMEOUT,0,7,0
off,9,9,TIMEOUT,0,8,1
off,10,0,PARTNER_RESCUED,1,1,0
off,10,1,PARTNER_RESCUED,1,1,0
off,10,2,PARTNER_RESCUED,1,1,0
off,10,3,TIMEOUT,0,2,0
off,10,4,TIMEOUT,0,3,1
off,10,5,RESOURCE_TAKEN,0,4,0
off,10,6,PARTNER_RESCUED,1,4,0
off,10,7,TIMEOUT,0,5,1
off,10,8,PARTNER_RESCUED,1,5,0
off,10,9,PARTNER_RESCUED,1,5,0
off,11,0,PARTNER_RESCUED,1,1,0
off,11,1,TIMEOUT,0,2,0
off,11,2,TIMEOUT,0,3,2
off,11,3,TIMEOUT,0,4,2
off,11,4,TIMEOUT,0,5,0
off,11,5,RESOURCE_TAKEN,0,6,0
off,11,6,PARTNER_RESCUED,1,6,0
off,11,7,PARTNER_RESCUED,1,6,0
off,11,8,TIMEOUT,0,7,1
off,11,9,TIMEOUT,0,8,2
off,12,0,TIMEOUT,0,2,1
off,12,1,TIMEOUT,0,3,2
off,12,2,PARTNER_DEAD,0,4,0
off,12,3,TIMEOUT,0,5,0
off,12,4,PARTNER_RESCUED,1,5,0
off,12,5,TIMEOUT,0,6,0
off,12,6,TIMEOUT,0,7,1
off,12,7,TIMEOUT,0,8,0
off,12,8,TIMEOUT,0,9,2
off,12,9,TIMEOUT,0,10,0
off,13,0,PARTNER_RESCUED,1,1,0
off,13,1,PARTNER_RESCUED,1,1,0
off,13,2,TIMEOUT,0,2,1
off,13,3,TIMEOUT,0,3,2
off,13,4,TIMEOUT,0,4,2
off,13,5,TIMEOUT,0,5,2
off,13,6,TIMEOUT,0,6,1
off,13,7,TIMEOUT,0,7,0
off,13,8,TIMEOUT,0,8,2
off,13,9,TIMEOUT,0,9,0
off,14,0,PARTNER_RESCUED,1,1,0
off,14,1,PARTNER_RESCUED,1,1,0
off,14,2,TIMEOUT,0,2,1
off,14,3,TIMEOUT,0,3,0
off,14,4,TIMEOUT,0,4,3
off,14,5,TIMEOUT,0,5,1
off,14,6,TIMEOUT,0,6,1
off,14,7,TIMEOUT,0,7,2
off,14,8,TIMEOUT,0,8,1
off,14,9,TIMEOUT,0,9,2
off,15,0,TIMEOUT,0,2,1
off,15,1,TIMEOUT,0,3,1
off,15,2,TIMEOUT,0,4,0
off,15,3,TIMEOUT,0,5,1
off,15,4,TIMEOUT,0,6,3
off,15,5,TIMEOUT,0,7,2
off,15,6,TIMEOUT,0,8,0
off,15,7,TIMEOUT,0,9,2
off,15,8,TIMEOUT,0,10,2
off,15,9,TIMEOUT,0,11,1
off,16,0,PARTNER_RESCUED,1,1,0
off,16,1,PARTNER_RESCUED,1,1,0
off,16,2,PARTNER_DEAD,0,2,1
off,16,3,PARTNER_RESCUED,1,2,0
off,16,4,PARTNER_RESCUED,1,2,0
off,16,5,TIMEOUT,0,3,1
off,16,6,TIMEOUT,0,4,0
off,16,7,TIMEOUT,0,5,1
off,16,8,TIMEOUT,0,6,2
off,16,9,TIMEOUT,0,7,0
off,17,0,PARTNER_RESCUED,1,1,0
off,17,1,PARTNER_RESCUED,1,1,0
off,17,2,TIMEOUT,0,2,0
off,17,3,TIMEOUT,0,3,0
off,17,4,TIMEOUT,0,4,0
off,17,5,TIMEOUT,0,5,0
off,17,6,TIMEOUT,0,6,0
off,17,7,TIMEOUT,0,7,0
off,17,8,TIMEOUT,0,8,1
off,17,9,TIMEOUT,0,9,0
off,18,0,PARTNER_RESCUED,1,1,0
off,18,1,PARTNER_RESCUED,1,1,0
off,18,2,PARTNER_RESCUED,1,1,0
off,18,3,TIMEOUT,0,2,1
off,18,4,TIMEOUT,0,3,1
off,18,5,TIMEOUT,0,4,0
off,18,6,TIMEOUT,0,5,0
off,18,7,TIMEOUT,0,6,0
off,18,8,TIMEOUT,0,7,0
off,18,9,TIMEOUT,0,8,0
off,19,0,PARTNER_RESCUED,1,1,0
off,19,1,PARTNER_RESCUED,1,1,0
off,19,2,PARTNER_RESCUED,1,1,0
off,19,3,TIMEOUT,0,2,1
off,19,4,TIMEOUT,0,3,2
off,19,5,TIMEOUT,0,4,1
off,19,6,RESOURCE_TAKEN,0,5,0
off,19,7,PARTNER_RESCUED,1,5,0
off,19,8,PARTNER_RESCUED,1,5,0
off,19,9,PARTNER_RESCUED,1,5,0
off,20,0,PARTNER_RESCUED,1,1,0
off,20,1,PARTNER_RESCUED,1,1,0
off,20,2,PARTNER_DEAD,0,2,1
off,20,3,PARTNER_RESCUED,1,2,0
off,20,4,TIMEOUT,0,3,0
off,20,5,TIMEOUT,0,4,1
off,20,6,TIMEOUT,0,5,1
off,20,7,TIMEOUT,0,6,1
off,20,8,TIMEOUT,0,7,0
off,20,9,TIMEOUT,0,8,1
off,21,0,PARTNER_RESCUED,1,1,0
off,21,1,PARTNER_RESCUED,1,1,0
off,21,2,TIMEOUT,0,2,1
off,21,3,TIMEOUT,0,3,0
off,21,4,RESOURCE_TAKEN,0,4,0
off,21,5,PARTNER_RESCUED,1,4,0
off,21,6,TIMEOUT,0,5,1
off,21,7,TIMEOUT,0,6,1
off,21,8,TIMEOUT,0,7,2
off,21,9,TIMEOUT,0,8,0
off,22,0,PARTNER_RESCUED,1,1,0
off,22,1,PARTNER_RESCUED,1,1,0
off,22,2,PARTNER_RESCUED,1,1,0
off,22,3,PARTNER_RESCUED,1,1,0
off,22,4,TIMEOUT,0,2,0
off,22,5,TIMEOUT,0,3,1
off,22,6,TIMEOUT,0,4,2
off,22,7,TIMEOUT,0,5,1
off,22,8,TIMEOUT,0,6,0
off,22,9,TIMEOUT,0,7,0
off,23,0,PARTNER_RESCUED,1,1,0
off,23,1,PARTNER_RESCUED,1,1,0
off,23,2,PARTNER_RESCUED,1,1,0
off,23,3,PARTNER_RESCUED,1,1,0
off,23,4,RESOURCE_TAKEN,0,2,0
off,23,5,TIMEOUT,0,3,0
off,23,6,PARTNER_RESCUED,1,3,0
off,23,7,TIMEOUT,0,4,2
off,23,8,TIMEOUT,0,5,0
off,23,9,TIMEOUT,0,6,2
off,24,0,PARTNER_RESCUED,1,1,0
off,24,1,PARTNER_RESCUED,1,1,0
off,24,2,TIMEOUT,0,2,1
off,24,3,TIMEOUT,0,3,1
off,24,4,TIMEOUT,0,4,0
off,24,5,TIMEOUT,0,5,1
off,24,6,TIMEOUT,0,6,2
off,24,7,TIMEOUT,0,7,0
off,24,8,TIMEOUT,0,8,0
off,24,9,TIMEOUT,0,9,2
off,25,0,TIMEOUT,0,2,0
off,25,1,TIMEOUT,0,3,1
off,25,2,TIMEOUT,0,4,2
off,25,3,TIMEOUT,0,5,1
off,25,4,TIMEOUT,0,6,2
off,25,5,TIMEOUT,0,7,0
off,25,6,TIMEOUT,0,8,1
off,25,7,RESOURCE_TAKEN,0,9,1
off,25,8,PARTNER_RESCUED,1,9,0
off,25,9,PARTNER_RESCUED,1,9,0
off,26,0,PARTNER_RESCUED,1,1,0
off,26,1,PARTNER_RESCUED,1,1,0
off,26,2,PARTNER_RESCUED,1,1,0
off,26,3,TIMEOUT,0,2,0
off,26,4,TIMEOUT,0,3,1
off,26,5,TIMEOUT,0,4,2
off,26,6,TIMEOUT,0,5,2
off,26,7,RESOURCE_TAKEN,0,6,0
off,26,8,PARTNER_RESCUED,1,6,0
off,26,9,TIMEOUT,0,7,1
off,27,0,PARTNER_RESCUED,1,1,0
off,27,1,PARTNER_RESCUED,1,1,0
off,27,2,PARTNER_RESCUED,1,1,0
off,27,3,TIMEOUT,0,2,0
off,27,4,TIMEOUT,0,3,0
off,27,5,TIMEOUT,0,4,0
off,27,6,TIMEOUT,0,5,2
off,27,7,TIMEOUT,0,6,2
off,27,8,RESOURCE_TAKEN,0,7,0
off,27,9,PARTNER_RESCUED,1,7,0
off,28,0,PARTNER_RESCUED,1,1,0
off,28,1,PARTNER_RESCUED,1,1,0
off,28,2,PARTNER_RESCUED,1,1,0
off,28,3,PARTNER_RESCUED,1,1,0
off,28,4,RESOURCE_TAKEN,0,2,0
off,28,5,PARTNER_RESCUED,1,2,0
off,28,6,PARTNER_RESCUED,1,2,0
off,28,7,PARTNER_RESCUED,1,2,0
off,28,8,PARTNER_RESCUED,1,2,0
off,28,9,PARTNER_RESCUED,1,2,0
off,29,0,PARTNER_RESCUED,1,1,0
off,29,1,PARTNER_RESCUED,1,1,0
off,29,2,TIMEOUT,0,2,1
off,29,3,TIMEOUT,0,3,1
off,29,4,TIMEOUT,0,4,3
off,29,5,TIMEOUT,0,5,2
off,29,6,TIMEOUT,0,6,1
off,29,7,TIMEOUT,0,7,1
off,29,8,TIMEOUT,0,8,2
off,29,9,TIMEOUT,0,9,1
off,30,0,TIMEOUT,0,2,2
off,30,1,TIMEOUT,0,3,0
off,30,2,TIMEOUT,0,4,1
off,30,3,TIMEOUT,0,5,0
off,30,4,TIMEOUT,0,6,0
off,30,5,TIMEOUT,0,7,0
off,30,6,TIMEOUT,0,8,2
off,30,7,TIMEOUT,0,9,1
off,30,8,RESOURCE_TAKEN,0,10,0
off,30,9,PARTNER_RESCUED,1,10,0
off,31,0,PARTNER_RESCUED,1,1,0
off,31,1,PARTNER_RESCUED,1,1,0
off,31,2,PARTNER_RESCUED,1,1,0
off,31,3,PARTNER_RESCUED,1,1,0
off,31,4,RESOURCE_TAKEN,0,2,0
off,31,5,TIMEOUT,0,3,1
off,31,6,PARTNER_RESCUED,1,3,0
off,31,7,PARTNER_RESCUED,1,3,0
off,31,8,TIMEOUT,0,4,2
off,31,9,TIMEOUT,0,5,2
off,32,0,PARTNER_RESCUED,1,1,0
off,32,1,PARTNER_RESCUED,1,1,0
off,32,2,PARTNER_RESCUED,1,1,0
off,32,3,TIMEOUT,0,2,0
off,32,4,TIMEOUT,0,3,2
off,32,5,TIMEOUT,0,4,2
off,32,6,TIMEOUT,0,5,0
off,32,7,TIMEOUT,0,6,0
off,32,8,TIMEOUT,0,7,2
off,32,9,TIMEOUT,0,8,0
off,33,0,PARTNER_RESCUED,1,1,0
off,33,1,PARTNER_RESCUED,1,1,0
off,33,2,PARTNER_RESCUED,1,1,0
off,33,3,TIMEOUT,0,2,0
off,33,4,TIMEOUT,0,3,0
off,33,5,TIMEOUT,0,4,2
off,33,6,TIMEOUT,0,5,1
off,33,7,TIMEOUT,0,6,0
off,33,8,TIMEOUT,0,7,2
off,33,9,RESOURCE_TAKEN,0,8,0
off,34,0,PARTNER_RESCUED,1,1,0
off,34,1,PARTNER_RESCUED,1,1,0
off,34,2,TIMEOUT,0,2,1
off,34,3,TIMEOUT,0,3,0
off,34,4,TIMEOUT,0,4,1
off,34,5,TIMEOUT,0,5,2
off,34,6,TIMEOUT,0,6,1
off,34,7,TIMEOUT,0,7,1
off,34,8,RESOURCE_TAKEN,0,8,0
off,34,9,PARTNER_RESCUED,1,8,0
off,35,0,PARTNER_RESCUED,1,1,0
off,35,1,PARTNER_RESCUED,1,1,0
off,35,2,PARTNER_RESCUED,1,1,0
off,35,3,TIMEOUT,0,2,2
off,35,4,RESOURCE_TAKEN,0,3,0
off,35,5,PARTNER_RESCUED,1,3,0
off,35,6,PARTNER_RESCUED,1,3,0
off,35,7,TIMEOUT,0,4,1
off,35,8,TIMEOUT,0,5,0
off,35,9,TIMEOUT,0,6,2
off,36,0,PARTNER_RESCUED,1,1,0
off,36,1,PARTNER_RESCUED,1,1,0
off,36,2,TIMEOUT,0,2,1
off,36,3,TIMEOUT,0,3,1
off,36,4,TIMEOUT,0,4,1
off,36,5,TIMEOUT,0,5,0
off,36,6,TIMEOUT,0,6,1
off,36,7,TIMEOUT,0,7,1
off,36,8,TIMEOUT,0,8,1
off,36,9,TIMEOUT,0,9,2
off,37,0,PARTNER_RESCUED,1,1,0
off,37,1,PARTNER_RESCUED,1,1,0
off,37,2,PARTNER_RESCUED,1,1,0
off,37,3,PARTNER_RESCUED,1,1,0
